"Profit and emission database, by Robert Höglund www.marginalcarbon.com. CC BY 4.0. Economic data from Forbes Global 2000 List (2021 version with 2020 data). Emission data (for 2020) manually collected (so will likely contain smaller mistakes!) You can make your own filter view and sort the document by clicking Data > Filterview > New temporary filter view",,2 019,2020 data,,,,"185,000,000","185,000,000",,,,,,,,,,,,,,,
2021 Global Rank Forbes 2000,Company Name,Industry,Country/Territory,Scope 1 GHG emissions tons CO₂e,Scope 2 emissions tons CO₂e,Scope 3 emissions tons CO₂e,Scope 1 GHG emissions tons CO₂e,Scope 2 emissions tons CO₂e (location based when available),Scope 1+2,Scope 3 emissions tons CO₂e,Scope 1-3 emissions,Profit per ton in Scope 1+2,Profit per ton in Scope 1+2+3,Share of profit if carbon price for Scope 1-2 is 100 USD,Share of profit if carbon price X for Scope 3,Combined share of profits,Share of Revenue (Sales) Scope 1+2 if carbon price 100 USD,Share of Revenue (sales) Scope 1+2+3 if carbon price 100 USD,CO2 intensity gram CO2/USD. (Scope 1-3/Revenue),1% of profit means,"Datasource emission data (name, link + page nr)",Sales/Revenue,Profit
206,Qualcomm,Semiconductors,United States,82993,125729,123736,123986,223821,347807,2982131,3329938,"$19,350 ","$2,021 ","0,9561%","9,15%",101097%,"0,2410%","2,31%",125,"$20,21","2021-qualcomm-corporate-responsibility-report, page 41, https://www.qualcomm.com/media/documents/files/2021-qualcomm-corporate-responsibility-report.pdf","$26700000000,00","$6730000000,00"
207,Centene,Drugs & Biotechnology,United States,17510,113048,--,13864,140658,154522,--,,"$11,714 ",,15794%,#VALUE!,,"0,0257%",#VALUE!,,,"TCFD Report 2021, page 24 https://www.centene.com/content/dam/centenedotcom/documents/CNC_TCFDReporting_082021_508.pdf","$111100000000,00","$1810000000,00"
208,Micron Technology,Semiconductors,United States,3521380,3861145,--,3281887,3859402,7141289,--,,$448 ,,412856%,#VALUE!,,"5,62%",#VALUE!,,,"2021 Sustainability Report, page 77, https://media-www.micron.com/-/media/client/global/documents/general/about/micron_sustainability-report-fy21-final.pdf","$23500000000,00","$3200000000,00"
210,EDF,Utilities,France,33000000,300000,119000000,28000000,300000,28300000,107000000,135300000,$26 ,$5 ,7065452%,"3377,94%",40844804%,"6,65%","31,80%",1719,"$0,05","URD 2020 including the 2020 financial report, page 137 https://www.edf.fr/sites/groupe/files/contrib/groupe-edf/espaces-dedies/espace-finance-en/financial-information/regulated-information/urd/edf-urd-annual-financial-report-2020-en.pdf","$78700000000,00","$741000000,00"
211,Fubon Financial,Insurance,Taiwan,4797,44141,11691,3553,41272,44825,8927,53752,"$68,489 ","$57,114 ","0,2701%","0,32%","0,5940%","0,0236%","0,03%",2,"$571,14","Fubon_CSRreport_2020, page 37 https://www.fubon.com/financialholdings/en/citizenship/downloadlist/downloadlist/Fubon_CSRreport_2020_EN.pdf","$35200000000,00","$3070000000,00"
212,Sun Life Financial,Diversified Financials,Canada,21970,40167,15676,18971,34759,53730,14056,67786,"$34,618 ","$27,439 ","0,5344%","0,67%",12086%,"0,0368%","0,05%",3,"$274,39","Sustainability Report 2020, page 55, https://www.sunlife.com/content/dam/sunlife/regional/global-marketing/documents/com/sustainability-report-2020-e.pdf","$27000000000,00","$1860000000,00"
214,Møller-Maersk,Transportation,Denmark,36204000,287000,--,33902000,642000,34544000,19017000,53561000,$81 ,$52 ,2290552%,"355,15%",5842088%,"16,14%","25,02%",1353,"$0,52","APMM Sustainability Report 2020, page 23 file:///C:/Users/muham/Downloads/APMM%20Sustainability%20Report%202020%20A3.pdf","$39600000000,00","$2790000000,00"
215,Volvo Group,Consumer Durables,Sweden,232587,124561,137788,190699,97000,287699,--,,"$7,299 ",,25345%,#VALUE!,,"0,1446%",#VALUE!,0,,"annual-and-sustainability-report-2020, page 159 https://www.volvogroup.com/content/dam/volvo/volvo-group/markets/global/en-en/investors/reports-and-presentations/annual-reports/annual-and-sustainability-report-2020.pdf","$36800000000,00","$2100000000,00"
216,Altria Group,"Food, Drink & Tobacco",United States,154507,147909,5227733,139868,141100,280968,5189893,5470861,"$15,874 ",$815 ,11655%,"22,69%",238585%,"0,2499%","4,87%",263,"$8,15","Altria Environmental Data Supplement, page 1, https://www.altria.com/-/media/Project/Altria/Altria/responsibility/environmental-management/Environmental_Management_Website_Data_Supplement.pdf","$20800000000,00","$4460000000,00"
217,Humana,Drugs & Biotechnology,United States,16513,77247,--,11946,68235,80181,--,,"$42,030 ",,"0,4402%",#VALUE!,,"0,0192%",#VALUE!,,,https://www.humana.com/about/corporate/environmental-responsibility,"$77100000000,00","$3370000000,00"
218,Anglo American,Materials,United Kingdom,10880000,6860000,--,9950000,6130000,16080000,--,,$129 ,,1437101%,#VALUE!,,"9,66%",#VALUE!,,,"aa-sustainability-report-2020, page 105, https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/sustainability/aa-sustainability-report-2020.pdf","$30800000000,00","$2070000000,00"
219,Netflix,Media,United States,56754,29937,1314681,34042,31664,65706,1124953,1190659,"$42,005 ","$2,318 ","0,4404%","7,98%",84213%,"0,0486%","0,88%",48,"$23,18","2020-SASB-Report, page 5, https://s22.q4cdn.com/959853165/files/doc_downloads/2021/03/2020-SASB-Report_FINAL.pdf","$25000000000,00","$2760000000,00"
220,HDFC,Business Services & Supplies,India,7716,495709,17306,7600,390000,397600,16400,414000,"$5,936 ","$5,700 ",31168%,"3,25%",63621%,"0,4540%","0,47%",26,"$57,00",https://v1.hdfcbank.com/htdocs/common/2020/July/AR/hdfc-AR/environment.html,"$16200000000,00","$2360000000,00"
221,Qatar National Bank,Banking,Qatar,12692,75934,--,10376,67152,77528,--,,"$38,051 ",,"0,4862%",#VALUE!,,"0,1095%",#VALUE!,,,"enSustainability2020, page 38, https://www.qnb.com/sites/qnb/qnbqatar/document/en/enSustainability2020","$13100000000,00","$2950000000,00"
224,Nordea Bank,Banking,Finland,1638,5394,25014,1455,4793,6248,9723,15971,"$404,930 ","$158,412 ","0,0457%","0,12%","0,1625%","0,0091%","0,02%","1,3","$1584,12","annual-report-nordea 2021, page 323 https://www.nordea.com/en/doc/annual-report-nordea-bank-abp-2021.pdf","$12700000000,00","$2530000000,00"
225,Northrop Grumman,Aerospace & Defense,United States,145156,339904,--,109741,313927,423668,--,,"$7,529 ",,24570%,#VALUE!,,"0,2130%",#VALUE!,,,"Northrop-Grumman_2020-SustainabilityReport, page 83, https://www.northropgrumman.com/wp-content/uploads/Northrop-Grumman_2020-SustainabilityReport.pdf","$36800000000,00","$3190000000,00"
226,ABB,Conglomerates,Switzerland,396000,602000,5952000,226000,336000,562000,6126000,6688000,"$9,039 ",$760 ,20467%,"24,36%",264026%,"0,3999%","4,76%",257,"$7,60","sustainability-performance-2020-abb, page 122 https://sustainabilityreport.abb.com/2020/servicepages/downloads/files/sustainability-performance-2020-abb-csr20.pdf","$26000000000,00","$5080000000,00"
227,China Evergrande Group,Construction,China,11451,214323,--,9735,267627,277362,--,,"$4,182 ",,44234%,#VALUE!,,"0,0693%",#VALUE!,,,"2019, page 77 https://doc.irasia.com/listco/hk/evergrande/annual/2020/esr.pdf ; 2020, page 92 https://doc.irasia.com/listco/hk/evergrande/annual/2020/esr.pdf","$74000000000,00","$1160000000,00"
228,Seven & I Holdings,Food Markets,Japan,122391,2853560,--,111752,2657180,2768932,--,,$610 ,,303108%,#VALUE!,,"0,94%",#VALUE!,,,"Seven & i Holdings Co., Ltd. Sustainability Data Book 2021, page 212 https://www.7andi.com/library/dbps_data/_template_/_res/en/sustainability/sustainabilityreport/2021/pdf/2021_all_01.pdf","$54400000000,00","$1690000000,00"
229,KB Financial Group,Banking,South Korea,18980,111731,26761188,17861,122027,139888,--,,"$20,802 ",,"0,8893%",#VALUE!,,"0,0840%",#VALUE!,,,"KBFG_2020_SR, page 87 file:///C:/Users/muham/Downloads/KBFG_2020_SR.pdf","$30800000000,00","$2910000000,00"
231,Kroger,Food Markets,United States,2445526,6826569,2175346,2284131,3018225,5302356,1655613,6957969,$487 ,$371 ,380208%,"49,89%",879132%,"0,74%","0,97%",53,"$3,71","Kroger-2020-ESG-Report, page 16, https://www.thekrogerco.com/wp-content/uploads/2021/07/Kroger-2020-ESG-Report.pdf ; Kroger-2021-ESG-Report, page 27 https://www.thekrogerco.com/wp-content/uploads/2021/07/Kroger-2021-ESG-Report.pdf","$132500000000,00","$2580000000,00"
233,E.ON,Utilities,Germany,4276967,5313140,132574981,3924228,4490000,8414228,108210000,116624228,$122 ,$9 ,1511293%,"2094,71%",22458363%,"2,24%","31,04%",1678,"$0,09","2020 Sustainability Report, page 138, https://www.eon.com/content/dam/eon/eon-com/eon-com-assets/documents/sustainability/en/sustainability-report/2020/EON_2020_Sustainability_Report.pdf","$69500000000,00","$1030000000,00"
234,PTT,Oil & Gas Operations,Thailand,11637769,204511,81862930,11049816,180782,11230598,75115542,86346140,$107 ,$14 ,1731384%,"1331,17%",15043080%,"4,03%","30,96%",1673,"$0,14","Final Performance Data report, page 19 https://www.pttplc.com/uploads/Sustainability/2021/02.EN/08.%20Sustainability%20Report/Final%20Performance%20Data%20EN_DJSIrevised170621.pdf","$51600000000,00","$1200000000,00"
234,Telefónica,Telecommunications Services,Spain,229296,657024,2699717,207872,467587,675459,2146226,2821685,"$2,250 ",$539 ,82210%,"34,34%",425639%,"0,2545%","1,06%",57,"$5,39","Consolidated Annual Report 2021, page 80, file:///C:/Users/muham/Downloads/consolidated-management-report-2021.pdf","$49100000000,00","$1520000000,00"
237,HP,Technology Hardware & Equipment,United States,61900,153900,46570000,50600,203600,254200,44720000,44974200,"$12,707 ",$72 ,14559%,"257,59%",2590481%,"0,0815%","14,42%",779,"$0,72","HP 2020 Sustainability Impact Report, page 21, https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07539064","$57700000000,00","$3230000000,00"
238,Danone,"Food, Drink & Tobacco",France,722000,588000,25869000,668000,479000,1147000,24974000,26121000,"$1,927 ",$85 ,96016%,"218,66%",2282615%,"0,7888%","17,96%",971,"$0,85","3,https://integrated-annual-report-2020.danone.com/wp-content/uploads/Danone-exhaustive-2020-environmental-data.pdf","$26900000000,00","$2210000000,00"
239,Panasonic,Consumer Durables,Japan,440000,2000000,74617000,390000,1930000,2320000,104291000,106611000,$716 ,$16 ,258554%,"1188,13%",12139901%,"0,69%","31,86%",1722,"$0,16","sdb2020 report, page 32, https://www.panasonic.com/global/corporate/sustainability/pdf/sdb2019e.pdf","$61900000000,00","$1660000000,00"
240,Power Corp of Canada,Diversified Financials,Canada,28940,31124,190191,18482,27371,45853,163756,209609,"$33,368 ","$7,299 ","0,5544%","2,53%",30889%,"0,0193%","0,09%",5,"$72,99","Power Corporation - 2020 ESG Data Supplement, page 5 https://www.powercorporationcsr.com/media/uploads/reports/power_corporation_-_2020_esg_data_supplement_-_final.pdf","$43900000000,00","$1530000000,00"
241,Mastercard,Business Services & Supplies,United States,5244,57654,554475,3550,52806,56356,403603,459959,"$113,741 ","$13,936 ","0,1626%","1,33%",14901%,"0,0681%","0,56%",30,"$139,36","Mastercard Sustainability Report 2020, page 68, https://www.mastercardcenter.org/content/dam/mc-cig/uploads/mastercard-sustainability-report-2020.pdf","$15300000000,00","$6410000000,00"
242,Baidu,IT Software & Services,China,5390,300588,19810,5974,468245,474219,16621,490840,"$6,896 ","$6,662 ",26829%,"2,78%",54598%,"0,5660%","0,59%",32,"$66,62","Baidu 2020 Environmental, Social and Governance Report, page 35 file:///C:/Users/muham/Downloads/Baidu%202020%20Environmental,%20Social%20and%20Governance%20Report.pdf","$15500000000,00","$3270000000,00"
244,Fortum,Utilities,Finland,19100000,77800,5809300,48800000,808600,49608600,27836400,77445000,$42 ,$27 ,4412303%,"688,81%",11300440%,"16,42%","25,63%",1385,"$0,27","Fortum Sustainability 2020, page 37,38 https://www.fortum.com/files/fortum-sustainability-2020/download","$55900000000,00","$2080000000,00"
245,Fresenius,Health Care Equipment & Services,Germany,517000,993000,--,537000,984000,1521000,--,,"$1,282 ",,144300%,#VALUE!,,"0,6797%",#VALUE!,,,"Fresenius Annual Report 2020, page 176 https://annualreport.fresenius.com/wp-content/uploads/sites/6/2021/03/Fresenius_Annual_Report_2020.pdf","$41400000000,00","$1950000000,00"
246,Dow,Chemicals,United States,29982867,12423048,103553944,28200000,4900000,33100000,69256630,102356630,$37 ,$12 ,5019262%,"1552,13%",20540555%,"15,91%","49,18%",2659,"$0,12","2020 Environmental, Social and Governance Report, page 180 https://corporate.dow.com/documents/about/066-00338-01-2020-esg-report.pdf","$38500000000,00","$1220000000,00"
247,Archer Daniels Midland,"Food, Drink & Tobacco",United States,14800000,3000000,--,13500000,2700000,16200000,41667367,57867367,$109 ,$31 ,1693220%,"604,83%",7741504%,"4,65%","16,62%",899,"$0,31","2020-Corporate-Sustainability-Report, page 27 https://assets.adm.com/Sustainability/2020-Corporate-Sustainability-Report_210521_121113.pdf","$64400000000,00","$1770000000,00"
248,Shinhan Financial Group,Diversified Financials,South Korea,14086,76108,--,13796,77081,90877,--,,"$31,031 ",,"0,5962%",#VALUE!,,"0,0734%",#VALUE!,,,"2020 ESG Report, Page 31 http://www.shinhangroup.com/kr/common/download/commonDownload.jsp?actionValue=PDF&pathKey=CSRREPORT&fileName=SFG_2020_ESG_Report_eng.pdf","$22900000000,00","$2820000000,00"
249,ASML Holding,Semiconductors,Netherlands,16900,141400,6500000,15400,139800,155200,8400000,8555200,"$26,095 ",$473 ,"0,7089%","39,08%",397882%,"0,1806%","9,95%",538,"$4,73","ASML Annual Report US GAAP 2021, page 59 file:///C:/Users/muham/Downloads/ASML%20Annual%20Report%20US%20GAAP%202021%20unsvf2.pdf","$15900000000,00","$4050000000,00"
251,Becton Dickinson,Health Care Equipment & Services,United States,129755,264657,2725883,128659,349138,477797,2494146,2971943,"$3,349 ",$538 ,55245%,"34,36%",398876%,"0,4857%","3,02%",163,"$5,38","BD_Sustainability-report-2020, page 85,86 file:///C:/Users/muham/Downloads/BD_Sustainability-report-2020_EN.pdf","$18200000000,00","$1600000000,00"
253,LafargeHolcim,Construction,Switzerland,121000000,8000000,19000000,110000000,7000000,117000000,29000000,146000000,$15 ,$12 ,12092179%,"1508,94%",27181564%,"87,63%","109,35%",5911,"$0,12","Sustainability Performance Report 2020, page 5 https://annual-report.lafargeholcim.com/index.php?eID=dumpFile&t=f&f=59&token=f2e58edf877d076d621b7a0cd513318519b29a93","$24700000000,00","$1790000000,00"
