Year Reported to CDP,Account Number,Organization,City,Country,CDP Region,Access,City-wide emissions inventory,Accounting year,Administrative city boundary,Inventory boundary (compared to Administrative city boundary),Primary Protocol,Primary Protocol Comment,Common Reporting Framework inventory format (GPC),Gases Included,Direct emissions (metric tonnes CO2e) for Total generation of grid-supplied energy,Direct emissions (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy),Indirect emissions from use of grid supplied energy (metric tonnes CO2e) for Total generation of grid supplied energy,Indirect emissions from use of grid supplied energy (metric tonnes CO2e) for Total Emissions (excluding generation of grid-supplied energy),Emissions occurring outside city boundary (metric tonnes CO2e) for Total Generation of grid supplied energy,Emissions occurring outside city boundary (metric tonnes CO2e) for Total Emissions (excluding generation of grid-supplied energy),TOTAL Scope 1 Emissions (metric tonnes CO2e),TOTAL Scope 2 emissions (metric tonnes CO2e),TOTAL Scope 3 Emissions,TOTAL BASIC Emissions (GPC),TOTAL BASIC+ Emissions (GPC),Change in emissions,Primary reason for the change in emissions,Land area (in square km),Population,Population Year,City Location,Last update
2020,36285,Comune di Firenze,Firenze,Italy,Europe,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,,CO2,,,,,,,,,,,,Decreased,"Other, please specify: effects of planned actions",102.4,378839,2019,POINT (11.2558 43.7696),2021-07-16T02:03:37.903
2020,60638,Walvis Bay Municipality,Walvis Bay,Namibia,Africa,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,,1124,100000,2016,POINT (12.5247 -22.9389),2021-07-16T02:03:37.903
2020,58871,"City of Salem, MA",Salem,United States of America,North America,public,In progress,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,,,,,,,,,,,,,,,,,,8,43559,2018,POINT (-70.8967 42.5195),2021-07-16T02:03:37.903
2020,54521,BCP Council,Bournemouth,United Kingdom of Great Britain and Northern Ireland,Europe,public,Yes,2016-04-01 - 2017-03-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Consistent with previous reports,Yes,"CH4, CO2, N20",0,1027342,0,530004,0,385984,,,,,,This is our first year of calculation,,161.3,395300,2020,POINT (-1.88076 50.7192),2021-07-16T02:03:37.903
2020,54579,Sekhukhune District Municipality,Sekhukhune District Municipality,South Africa,Africa,public,In progress,-,City / Municipality,,,,,"CH4, CO2",,,,,,,,,,,,,,13264,1076840,2011,POINT (29.974 -24.8335),2021-07-16T02:03:37.903
2020,31149,City of Athens,Athens,Greece,Europe,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",1376.27,383677,147.8,187109,0,2174425,,,,,,Decreased,Technological change,39,664046,2011,POINT (23.7275 37.9838),2021-07-16T02:03:37.903
2020,826427,Município de Valongo,Valongo,Portugal,Europe,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,Larger – covers the whole city and adjoining areas,Regional or country specific methodology,,,CO2,,,,,,,202713,,,,,Decreased,Behavioural change,75120,97444,2019,POINT (-8.49835 41.1887),2021-07-16T02:03:37.903
2020,54268,Dunedin City Council,,New Zealand,Southeast Asia and Oceania,public,Yes,2018-07-01 - 2019-06-30,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",17190.64,1254397.76,,87094.9,,231515.83,,,,,,Increased,Behavioural change,3286,131100,2018,,2021-07-16T02:03:37.903
2020,54389,Taichung City Government,Taichung,"Taiwan, Greater China",East Asia,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Taiwan has promulgated the “Guideline of GHG Inventory for County and Municipal Government” in 2011, the guideline has been revised according to the Global Protocol for Community-Scale Greenhouse Gas Emission Inventories from ICLEI. With the latest GPC concept and methodology, the inventory has compliance with international regulation.Therefore, Taichung City counts greenhouse gas emission inventories in accordance with the regulations formulated by the central government, and reports the results of the report to the central competent authority.",Yes,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,,,,,,Increased,Increased energy/electricity consumption,2214.9,2816917,2020,POINT (120.647 24.1619),2021-07-16T02:03:37.903
2020,42388,Intendencia de Montevideo,Montevideo,Uruguay,Latin America,public,In progress,2018-01-01 - 2018-12-31,Province / County,Larger – covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,,"CH4, CO2, N20",,,,,,,,,,,,,,530,1383432134,2020,POINT (-58.2987 -34.7112),2021-07-16T02:03:37.903
2020,839668,Municipio de Iztapa,,Guatemala,Latin America,public,Yes,2017-01-01 - 2018-01-01,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),por ser el indicado para nuestro caso  como ciudad o municipio,No,"CH4, CO2, N20",,,,,,,54244,8490,1190,63925,6344947,Do not know,"Other, please specify",65.16,11917,2019,,2021-07-16T02:03:37.903
2020,45219,Município de Aparecida,Aparecida,Brazil,Latin America,public,,,City / Municipality,,,,,,,,,,,,,,,,,,,121076,36279,2017,POINT (-41.6667 -20.7),2021-07-16T02:03:37.903
2020,36158,Comune di Napoli,Napoli,Italy,Europe,public,Yes,2014-01-01 - 2014-12-31,City / Municipality,Same – covers entire city and nothing else,"Other, please specify",Covenant of Mayors - SEAP,,CO2,,2559322,,,,,,,,,,Decreased,Policy change,11727,983755,2014,POINT (14.2514 40.842),2021-07-16T02:03:37.903
2020,49347,City of Omaha,Omaha,United States of America,North America,public,Yes,2009-01-01 - 2009-12-31,City / Municipality,Same – covers entire city and nothing else,,,,CO2,,,,,,,,,,,,Do not know,Lack of documentation,375.2,468267,2018,,2021-07-16T02:03:37.903
2020,69973,Alcaldia de Barrancabermeja,Barrancabermeja,Colombia,Latin America,public,Intending to undertake in the next 2 years,,"Other, please specify: DISTRITO MUNICIPAL",,,,,,,,,,,,,,,,,,,1.347,210729,2020,POINT (-73.8724 7.06066),2021-07-16T02:03:37.903
2020,73663,Correa,,Argentina,Latin America,public,Yes,2016-01-01 - 2016-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.",Yes,"CH4, CO2, N20",0,47156.19,0,3008.25,0,448.44,,,,,,Decreased,Change in available data,330,6171,2016,,2021-07-16T02:03:37.903
2020,36492,Comune di Parma,Parma,Italy,Europe,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,Same – covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,,CO2,0,990097,,,,,,,,,,Decreased,Policy change,260,198348,2020,POINT (10.3279 44.8015),2021-07-16T02:03:37.903
2020,73684,Carlos Tejedor,,Argentina,Latin America,public,Yes,2014-01-01 - 2014-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.",Yes,"CH4, CO2, N20",0,0,0,0,0,0,,,,,,This is our first year of calculation,"Other, please specify",3911,11570,2010,,2021-07-16T02:03:37.903
2020,69848,Municipio de Loja,Loja,Ecuador,Latin America,public,Yes,2015-01-01 - 2015-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,CO2,,,,,,,381960,41918,0,423878,0,This is our first year of calculation,Lack of knowledge overcome,1893,214855,2010,POINT (-3.99313 -79.2042),2021-07-16T02:03:37.903
2020,845132,Prefeitura de Goiás (Goiás Velho),,Brazil,Latin America,public,In progress,2019-01-01 - 2019-12-31,City / Municipality,Smaller – covers only part of the city,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),"Por meio do Pacto Global de Prefeitos pelo Clima e Energia Brasil, foi realizada capacitação de servidores públicos pelo ICLEI para criação do inventário de emissões de gases de efeito estufa.",,"CH4, CO2, N20",0,31592.33,0,0,0,0,,,,,,,,3108.02,24727,2010,,2021-07-16T02:03:37.903
2020,73530,"Town of Lexington, MA","Lexington, MA",United States of America,North America,public,Yes,2016-01-01 - 2016-12-31,City / Municipality,Same – covers entire city and nothing else,City specific methodology,We developed our own protocol for determining GHG emissions. We are hoping to convert to an industry standard methodology.,,"CH4, CO2",,287962,,128676,,7443,,,,,,Decreased,Behavioural change,42.8,31394,2010,POINT (-71.2269 42.4443),2021-07-16T02:03:37.903
2020,54348,The Local Government of Quezon City,Quezon City,Philippines,Southeast Asia and Oceania,public,Yes,2016-01-01 - 2016-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"C40, WRI and ICLEI  lauched the  Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC) in 2014 to support cities to develop robust , comprehensive and consistent inventories.  In line with this, C40 designed a tool which has been  reviewed by WRI to conform  with the GHG protocol for cities  known as the City Inventory Reporting and Information System (CIRIS) tool,  to support cities in reporting city-wide GHG emissions based from the GPC requirements.",No,"CH4, CO2, N20",,,,,,,5323322,2691044,,8014366,,This is our first year of calculation,Lack of knowledge overcome,161.12,3112436,2020,POINT (120.862 15.6835),2021-07-16T02:03:37.903
2020,59563,"City of Takoma Park, MD",Takoma Park,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,,"CH4, CO2, N20",,151435,,,,,,,,,,Decreased,Technological change,5.4,17765,2016,POINT (-77.0075 38.9779),2021-07-16T02:03:37.903
2020,36426,Riga City,Riga,Latvia,Europe,public,In progress,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,"Other, please specify: Covenant of Mayors","Origins and DevelopmentThe EU Covenant of Mayors for Climate & Energy brings together thousands of local governments voluntarily committed to implementing EU climate and energy objectives.The Covenant of Mayors was launched in 2008 in Europe with the ambition to gather local governments voluntarily committed to achieving and exceeding the EU climate and energy targets.The initiative now gathers 7,000+ local and regional authorities across 57 countries drawing on the strengths of a worldwide multi-stakeholder movement and the technical and methodological support offered by dedicated offices.Signatories’ visionSignatories endorse a shared vision for 2050: accelerating the decarbonisation of their territories, strengthening their capacity to adapt to unavoidable climate change impacts, and allowing their citizens to access secure, sustainable and affordable energy.Signatories’ commitmentsSignatory cities pledge action to support implementation of the EU 40% greenhouse gas-reduction target by 2030 and the adoption of a joint approach to tackling mitigation and adaptation to climate change.Sources of information:Riga Energy AgencyCovenant of Mayors for Climate & Energy, https://www.eumayors.eu/about/covenant-initiative/origins-and-development.html",,CO2,0,,,,,,,,,,,,,304.05,627487,2020,POINT (24.1052 56.9496),2021-07-16T02:03:37.903
2020,54696,XIV Ayuntamiento de La Paz,La Paz,Mexico,Latin America,public,Yes,2017-01-01 - 2017-12-31,"Other, please specify: Ciudad Capital",Larger – covers the whole city and adjoining areas,Regional or country specific methodology,"Los indicadores corresponden a las mediciones realizadas en las tres estaciones de CFE ubicadas en La Paz, donde de ellas en la zona urbana (E2 y E3). Las especificaciones de las mediciones que se proporcionaron son las siguientes: la toma de muestra del aire es continua para los parámetros de bióxido de azufre (SO2) y los óxidos de nitrógeno (NOx), la frecuencia de las mediciones se llevó a cabo cada minuto, haciendo un promedio a las 24 horas, para proporcionar el reporte diario de las mediciones tomadas. El bióxido de azufre se realiza por el método fluorescente Ultra Violeta. Los óxidos de nitrógeno (NOx) se realizan por quimioluminiscencia. Para la concentración de las partículas menores de 10 micrómetros (PM10), éstas se realizan durante un periodo de 24 horas cada seis días, el cual se determina por diferencia de peso del filtro, antes y después de la medición.",,"CO2, N20",,,,,,,,,,,,Increased,Increased energy/electricity consumption,2528,215178,2010,,2021-07-16T02:03:37.903
2020,10894,City of Los Angeles,Los Angeles,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",1329146,18683071,,7636620,,27315349,,,,,,Increased,"Other, please specify: Expanded reporting from BASIC to BASIC+",1215,4021488,2018,POINT (-118.244 34.0522),2021-07-16T02:03:37.903
2020,54327,Semarang City Government,,Indonesia,Southeast Asia and Oceania,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,,"CH4, CO2, N20",,,,,,,4127286.89,,,,,Decreased,Behavioural change,373.7,1674358,2019,,2021-07-16T02:03:37.903
2020,31154,Bogotá Distrito Capital,Bogotá,Colombia,Latin America,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Se siguieron las orientaciones descritas en el “Protocolo Global para Inventarios de Emisión de Gases de Efecto Invernadero a Escala Comunitaria (GPC)” y también se tuvieron en cuenta y emplearon las ecuaciones de las “Directrices para la elaboración de Inventarios nacionales de GEI del IPCC – 2006”. Para el cálculo y reporte se empleó la herramienta CIRIS.,Yes,"CH4, CO2, N20",,10402437,,1019287,,1,,,,,,Decreased,Change in accounting methodology,1605,7333415,2017,POINT (-74.0721 4.711),2021-07-16T02:03:37.903
2020,31051,Coventry City Council,Coventry,United Kingdom of Great Britain and Northern Ireland,Europe,public,Yes,2018-01-01 - 2018-12-31,Local government area within a greater city / metropolitan area,Same – covers entire city and nothing else,Regional or country specific methodology,BEIS methodology,,CO2,,,,,,,,,,,,Decreased,Technological change,99.8,366785,2018,POINT (-1.51217 52.4066),2021-07-16T02:03:37.903
2020,44077,Kampala City,Kampala,Uganda,Africa,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,Same – covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,The IPCC 2006 guidelines methodologies for estimation were used,,"CH4, CO2, N20",,3055230.86,,,,657900,,,,,,This is our first year of calculation,,192,1631210,2018,,2021-07-16T02:03:37.903
2020,54386,Tainan City Government,Tainan,"Taiwan, Greater China",East Asia,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"In addition to IEAP, we also use the GPC and ""Guide for GHG inventory of Taiwan"" to calculate the GHG emission.",Yes,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,7258677,,14096815,,49726,,,,,,Decreased,Behavioural change,2191.65,1880906,2019,POINT (120.227 22.9999),2021-07-16T02:03:37.903
2020,831616,Commune de Tsévié,Tsévié,Togo,Africa,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,,,,,,,,,,,,,,,,,,,220,160430,2020,POINT (1.21333 6.42611),2021-07-16T02:03:37.903
2020,60419,Municipalidad de Rio Grande,Rio Grande,Argentina,Latin America,public,Yes,2015-01-01 - 2015-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,981954,,,810086,810086,Do not know,,938,88741,2019,POINT (-67.7002 -53.786),2021-07-16T02:03:37.903
2020,826407,Munícipio de Mirandela,Mirandela,Portugal,Europe,public,,,City / Municipality,,,,,,,,,,,,,,,,,,,659,11852,2011,POINT (-7.1753 41.51),2021-07-16T02:03:37.903
2020,35848,Municipality of Belo Horizonte,Belo Horizonte,Brazil,Latin America,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Emissões de GEE por consumo de combustível - Diferentes concentrações de biocombustíveis (etanol e biodiesel) foram estabelecidas pela autoridade nacional para a distribuição de Gasolina Automotiva e Diesel. Essas concentrações foram consideradas nos cálculos e aplicadas ao total de cada combustível verificado para o município, de acordo com os desenvolvimentos regulatórios do setor. Emissões de GEE para o consumo de eletricidade - As emissões indiretas de CO2 por consumo de eletricidade foram calculadas levando-se em consideração o fator de emissão médio do Sistema Interligado Nacional em cada ano do período considerado. Emissões de GEE por tratamento e lançamento de efluentes líquidos - Belo Horizonte possui 4 ETEs em operação, que emitem metano e óxido nitroso.Há uma quinta ETE que emprega processos físico-químicos que não emitem gases de efeito estufa. Uma fração do esgoto coletado em Belo Horizonte não é encaminhada para nenhuma estação de tratamento, sendo depositada diretamente no corpo d'água; outra fração de esgoto, que não é coletada, é presumivelmente tratada em sistemas sépticos (fossas sépticas), seguida de infiltração. Emissões de GEE por tratamento de resíduos sólidos urbanos - Aterro - Os resíduos sólidos gerados em Belo Horizonte são levados para disposição em aterro sanitário (CTR Macaúbas).  Uma fração do lixo coletado na cidade ainda está disposta ao centro de tratamento maciço CTR-BR-040, em Belo Horizonte, em uma área separada onde, a partir de 2010, iniciou um sistema de geração termelétrica a partir do biogás gerado no aterro. Assim, o biogás derivado do antigo resíduo maciço não deve ser considerado no inventário de GEE a partir de 2010. É considerado apenas a fração derivada das provisões em área separada recente e não coberta pelo sistema de recuperação de biogás. Compostagem - A BH também realiza compostagem para resíduos orgânicos. Essas atividades ocorrem no CTRS Rod BR-040 e podem incorrer em óxido nitroso e metano.",Yes,"CH4, CO2, N20",,,,,,,,,,,,Decreased,Change in accounting methodology,331.401,2513451,2019,POINT (-43.9345 -19.9167),2021-07-16T02:03:37.903
2020,845309,Puente Piedra,,Peru,Latin America,public,Intending to undertake in the next 2 years,,,,,,,,,,,,,,,,,,,,,,,0,,2021-07-16T02:03:37.903
2020,59537,"City of Denton, TX",Denton,United States of America,North America,public,Yes,2017-10-01 - 2018-09-30,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),"Since 2006, the City has utilized software developed and endorsed by ICLEI Local Governments for Sustainability (ICLEI) and partners including the National Association of Clean Air Agencies (NACAA) and the U.S. Environmental Protection Agency (USEPA).  The software has been updated over time to reflect current scientific understanding and to remain consistent with the latest inventory protocols. Since 2011, the City has used ICLEI’s web-based ClearPath software, which allows for efficient protocol updates, technical support, and improved forecasting and planning strategies. Data pertaining to energy use, fuel consumption, and waste is gathered from City departments, community agencies, and service providers and entered into the software to generate GHG inventories for both municipal operations and for the community as a whole. The software uses the latest methods and emissions factors to translate this data into equivalent CO2 emissions.",,"CH4, CO2, N20",,,,,,,1021228,452359,24051,,,Decreased,"Other, please specify: Increased Renewable Energy",231.3,141541,2019,POINT (-97.1331 33.2148),2021-07-16T02:03:37.903
2020,848137,Beteitiva,,Colombia,Latin America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,12252.57,106.97,58.53,3639.89,12418.06,This is our first year of calculation,,124,1474,2020,,2021-07-16T02:03:37.903
2020,70261,Alcaldia de Floridablanca,Floridablanca,Colombia,Latin America,public,Not intending to undertake,,City / Municipality,,,,,,,,,,,,,,,,,,,97,263095,2020,POINT (-73.0979 7.07001),2021-07-16T02:03:37.903
2020,59998,Narayanganj City Corporation,,Bangladesh,South and West Asia,public,Yes,2018-07-01 - 2019-06-30,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",,454136.78,,615995.28,,,,,,,,This is our first year of calculation,,72.43,709336,2011,,2021-07-16T02:03:37.903
2020,848484,General Lagos,,Argentina,Latin America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Se emplea  herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas. Excel.",Yes,"CH4, CO2, N20",,18856.69,,3093.82,,662.05,,,,,,This is our first year of calculation,"Other, please specify: Aún  no se cuenta con una sucesión de inventarios que permitan comparar y observar tendencias. Se espera poder realizar en el corto plazo una actualización del inventario de emisiones a escala comunitaria con año base 2018.",38,4865,2018,,2021-07-16T02:03:37.903
2020,51374,Prefeitura de Rio Branco,Rio Branco,Brazil,Latin America,public,In progress,2016-01-01 - 2016-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,,"CH4, CO2, N20",,,,,,,,,,,,,,8834942,407319,2019,POINT (-40.3776 -20.3338),2021-07-16T02:03:37.903
2020,73706,City of Alameda,Alameda,United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",,409039,,,,,,,,,,Increased,Increased energy/electricity consumption,27.48,75961,2017,POINT (122.163 37.4522),2021-07-16T02:03:37.903
2020,32480,City of Adelaide,Adelaide,Australia,Southeast Asia and Oceania,public,Yes,2017-07-01 - 2018-06-30,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"FY 18/19 and FY 19/20 city-wide GHG inventories are currently  being developed, but will not be completed in time for 2020 CDP reporting.",Yes,"CH4, CO2, HFCs, N20, PFCs, SF6",,240706.57,,377745.08,,316574.35,,,,,,Stayed the same,No new inventory to report,16,24807,2018,POINT (138.601 -34.9285),2021-07-16T02:03:37.903
2020,59124,"City of Natchez, MS",Natchez,United States of America,North America,public,Not intending to undertake,,City / Municipality,,,,,,,,,,,,,,,,,,,16.41,15000,2017,POINT (-91.4032 31.5604),2021-07-16T02:03:37.903
2020,73295,"City of La Crosse, WI",La Crosse,United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,City specific methodology,The methodology is a measure of La Crosse's sustainability plan benchmarks converted to greenhouse gases.,,CO2,,,,,,,,,,,,Increased,Emissions reduction actions not implemented,58.38,51320,2010,POINT (-91.2396 43.8014),2021-07-16T02:03:37.903
2020,36262,Comune di Genova,Genova,Italy,Europe,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,Partial – covers part of the city and adjoining ar,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,,CO2,,,,,,,,,,,,Decreased,Policy change,240,575577,2020,POINT (9.31841 44.348),2021-07-16T02:03:37.903
2020,31090,District of Columbia,"Washington, DC",United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,Federal district,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),We use the ICLEI ClearPath tool but have converted to GPC for this reporting.,Yes,"CH4, CO2, N20",,3441161,,3692706,,557427,,,,,,Decreased,"Other, please specify: Greening of regional electric grid",158,701547,2018,POINT (-77.0369 38.9072),2021-07-16T02:03:37.903
2020,50378,Municipalidad de San José,San José,Costa Rica,Latin America,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,Same – covers entire city and nothing else,Regional or country specific methodology,Programa País Carbono Neutralidad 2.0 en su categoría Cantonal. La cual está basada en el GPC y algunas guías del IPCC.  Ver https://cambioclimatico.go.cr/metas/descarbonizacion/,,"CH4, CO2, N20",,988330.85,,49328.95,,79127.72,,,,,,Increased,Change in accounting methodology,44.62,344851,2019,POINT (9.9326 -84.0796),2021-07-16T02:03:37.903
2020,49335,Metropolitan Government of Nashville and Davidson County,Nashville,United States of America,North America,public,Yes,2017-01-01 - 2017-12-31,Province / County,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",,7072772.9,,3999087.23,,358894.33,,,,,,Decreased,"Other, please specify: The TVA/NES emissions factor decreased by 17% from 2014 to 2017.",1367,692587,2018,POINT (-86.7816 36.1627),2021-07-16T02:03:37.903
2020,59558,"City of Holland, MI",,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),"ICLEI Calculator: 2010, 2015, 2018",,"CH4, CO2, N20",,,,,,,267217,351152,7033,,,Decreased,"Other, please specify",44.0298,33216,2019,,2021-07-16T02:03:37.903
2020,68388,Prefeitura de Morungaba,Morungaba,Brazil,Latin America,public,In progress,-,City / Municipality,,,,,,,,,,,,,,,,,,,146.752,13622,2019,POINT (-46.7929 -22.8767),2021-07-16T02:03:37.903
2020,58621,Town of Blacksburg,Blacksburg,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Smaller – covers only part of the city,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),Town of Blacksburg community green house gas inventory according to the ICLEI US community protocol.,,"CH4, CO2, N20",,389004.62,,,,,,,,,,Increased,"Other, please specify: Increase in degree days (weather) and change in electricity fuel mix",51.02,44678,2018,POINT (-80.4139 37.2296),2021-07-16T02:03:37.903
2020,54311,Thane Municipal Corporation,,India,South and West Asia,public,Yes,2017-04-01 - 2018-03-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",,848850.26,,1438746,,,,,,,,This is our first year of calculation,,128.23,2281692,2018,,2021-07-16T02:03:37.903
2020,44196,Hwaseong Metropolitan Government,Hwaseong-si,Republic of Korea,East Asia,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,,693.93,850050,2020,,2021-07-16T02:03:37.903
2020,50572,"City of Saint Paul, MN",Saint Paul,United States of America,North America,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),"It's also categorized according to  the Global Protocol (GPC),",,"CH4, CO2, N20",,3170866.16,,1050968.47,,557080.52,,,,,,Do not know,Lack of documentation,51.97,315000,2020,POINT (-93.09 44.9537),2021-07-16T02:03:37.903
2020,58391,Maribyrnong City Council,,Australia,Southeast Asia and Oceania,public,Yes,2018-07-01 - 2019-06-30,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,,,,,,,,31,91387,2018,,2021-07-16T02:03:37.903
2020,54617,Alcaldia de Pereira,Pereira,Colombia,Latin America,public,In progress,2020-12-15 - 2021-12-15,City / Municipality,Larger – covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,,"CH4, CO2, N20",,,,,,,,,,,,,,702,472000,2019,POINT (-75.6906 4.80871),2021-07-16T02:03:37.903
2020,50540,City of Albuquerque,,United States of America,North America,public,In progress,2017-01-01 - 2017-12-31,City / Municipality,Same – covers entire city and nothing else,City specific methodology,"Most emissions are calculated using AP-42 emissions factors from the EPA, IPCC emissions factors, or direct monitoring of stationary sources and then applied to activity data. Other calculation methods will be noted in the spreadsheet of data.",,"CH4, CO2, N20",,,,,,,,,,,,,,490.02,560513,2019,,2021-07-16T02:03:37.903
2020,848469,City of Georgetown,,Guyana,Latin America,public,Yes,2016-01-01 - 2016-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),BASIC,Yes,"CH4, CO2, N20",239516,544925,,317391,,52818,,,,,,This is our first year of calculation,,70,133000,2020,,2021-07-16T02:03:37.903
