Reporter,Year,Sector,Subsector,Primary NAICS Code,NAICS Definition,Parent Company,City,County,Jurisdiction,Total Emissions (MTCO2e),Biogenic Carbon Dioxide (MTCO2e),Carbon Dioxide (MTCO2e),Methane (MTCO2e),Nitrous Oxide (MTCO2e),HFCs (MTCO2e),PFCs (MTCO2e),Sulfur Hexafluoride (MTCO2e),Fluorinated - Other (MTCO2e),Notes,Point Size,Location,New Georeferenced Column
Owens-Brockway Glass Container Inc Plant #2 - Kalama,2016,Minerals,Glass Production,327213,Glass Container Manufacturing,O-I Glass Inc.,Kalama,Cowlitz,Southwest Clean Air Agency,23284,0,23268,8,9,0,0,0,0,,1,"(46.031656, -122.866241)",POINT (-122.86624100000002 46.031656)
Emerald City Renewables LLC LFGTE- Graham,2017,Power Plants,"Other Power, Heating, or Cooling Plants",221117,Biomass Electric Power Generation,NECCIF Investments II Inc.,Graham,Pierce,Puget Sound Clean Air Agency,20394,20290,0,31,73,0,0,0,0,,1,"(46.975533, -122.290871)",POINT (-122.29087100000001 46.975533)
Southern Counties Oil Co Ltd,2013,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),"Southern Counties Oil Co., A California LP",NA,NA,NA,119268,6290,112978,0,0,0,0,0,0,,,,
The Boeing Company - Fabrication (Frederickson Site) - Puyallup,2014,Manufacturing,Transportation Industry,336411,Aircraft Manufacturing,The Boeing Company,Puyallup,Pierce,Puget Sound Clean Air Agency,21442,0,21420,10,12,0,0,0,0,,1,"(47.088831, -122.34862)",POINT (-122.34862000000001 47.088831)
Cowlitz County Landfill - Longview,2013,Waste,Landfills,562212,Solid Waste Landfill,Cowlitz County,Longview,Cowlitz,Southwest Clean Air Agency,19709,0,0,19709,0,0,0,0,0,,1,"(46.107229, -122.905601)",POINT (-122.905601 46.107229)
Basic American Foods - Moses Lake,2012,Food Production,Potato Products,311423,Dried and Dehydrated Food Manufacturing,Basic American Inc.,Moses Lake,Grant,Ecology: Eastern Regional Office,28205,0,28176,13,16,0,0,0,0,,2,"(47.075183, -119.220408)",POINT (-119.22040799999999 47.075183)
Puget Sound Energy - Fredonia Generating Station - Mount Vernon,2012,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Mount Vernon,Skagit,Northwest Clean Air Agency,28514,0,28477,16,21,0,0,0,0,,2,"(48.4553, -122.435)",POINT (-122.43499999999999 48.4553)
H.W. Hill Landfill Gas Power Plant - Roosevelt,2020,Power Plants,"Other Power, Heating, or Cooling Plants",221119,Other Electric Power Generation,Public Utility District No. 1 of Klickitat County,Roosevelt,Klickitat,Ecology: Central Regional Office,1633,0,1631,1,1,0,0,0,0,Facility converted from onsite electricity generation to processing landfill gas for pipeline use.,1,"(45.807765, -120.166354)",POINT (-120.16635399999998 45.807765)
Alcoa Wenatchee Works - Malaga,2017,Metals,Aluminum Production,331312,Primary Aluminum Production,Alcoa Corp.,Malaga,Chelan,Ecology: Industrial Section,0,0,0,0,0,0,0,0,0,Facility curtailed.,1,"(47.3567, -120.1273)",POINT (-120.12730000000002 47.3567)
"Boise Cascade Wood Products, LLC.  Kettle Falls Plywood - Kettle Falls",2013,Wood Products,Other Wood Products,321212,Softwood Veneer and Plywood Manufacturing,Boise Cascade Company,Kettle Falls,Stevens,Ecology: Eastern Regional Office,71186,68156,2117,132,781,0,0,0,0,,2,"(48.613175, -118.116106)",POINT (-118.116106 48.613175)
Cowlitz County Headquarters Landfill - Castle Rock,2018,Waste,Landfills,562212,Solid Waste Landfill,Cowlitz County,Castle Rock,Cowlitz,Southwest Clean Air Agency,239496,5966,0,233509,21,0,0,0,0,,3,"(46.246902, -122.772284)",POINT (-122.772284 46.246902)
Boeing Commercial Airplanes - Everett,2013,Manufacturing,Transportation Industry,336411,Aircraft Manufacturing,The Boeing Company,Everett,Snohomish,Puget Sound Clean Air Agency,73643,0,73567,35,41,0,0,0,0,,2,"(47.918622, -122.276987)",POINT (-122.27698699999999 47.918622)
Northwest Hardwoods Inc. - Longview,2019,Wood Products,Lumber Mills,321113,Sawmills,American Industrial Partners (AIP),Longview,Cowlitz,Southwest Clean Air Agency,13053,8483,4453,18,100,0,0,0,0,,1,"(46.114537, -122.916806)",POINT (-122.91680600000001 46.114537)
WaferTech LLC - Camas,2015,Manufacturing,Electronics Industry,334413,Semiconductor and Related Device Manufacturing,WaferTech LLC,Camas,Clark,Southwest Clean Air Agency,172434,0,13050,6,6946,10646,78812,39193,23780,,3,"(45.619569, -122.454955)",POINT (-122.454955 45.619569)
Darigold - Sunnyside,2015,Food Production,Dairy Products,311513,Cheese Manufacturing,Darigold Inc.,Sunnyside,Yakima,Yakima Regional Clean Air Agency,21372,0,21349,10,12,0,0,0,0,,1,"(46.30058, -120.015675)",POINT (-120.01567500000002 46.30058)
Darigold - Chehalis,2019,Food Production,Dairy Products,311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",Darigold Inc.,Chehalis,Lewis,Southwest Clean Air Agency,12351,0,12338,6,7,0,0,0,0,,1,"(46.659952, -122.970162)",POINT (-122.97016200000002 46.659952)
Cowlitz County Landfill - Longview,2012,Waste,Landfills,562212,Solid Waste Landfill,Cowlitz County,Longview,Cowlitz,Southwest Clean Air Agency,18322,0,0,18322,0,0,0,0,0,,1,"(46.107229, -122.905601)",POINT (-122.905601 46.107229)
Northwest Pipeline C/S - Mount Vernon,2016,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Mount Vernon,Skagit,Northwest Clean Air Agency,69093,0,66878,2178,38,0,0,0,0,,2,"(48.421967, -122.21547)",POINT (-122.21547000000001 48.421967)
Green Plains Trade Group LLC,2018,Transportation Fuel Supplier,Transportation Fuel Supplier,425120,Wholesale Trade Agents and Brokers,Green Plains Inc,NA,NA,NA,5803,5803,0,0,0,0,0,0,0,,,,
CenTrio Energy Seattle LLC - Seattle,2014,Power Plants,"Other Power, Heating, or Cooling Plants",221330,Steam and Air-Conditioning Supply,"BIF II District Energy Holdings III, Delaware",Seattle,King,Puget Sound Clean Air Agency,88764,26006,62351,79,329,0,0,0,0,,2,"(47.6068, -122.340179)",POINT (-122.34017900000002 47.6068)
U.S. Oil & Refining Co.,2013,Transportation Fuel Supplier,Transportation Fuel Supplier,32411,Petroleum Refineries,"Astra Energy Holdings, Inc.",NA,NA,NA,1175482,0,1175482,0,0,0,0,0,0,,,,
Washington State University - Pullman,2013,Government,Education,611310,"Colleges, Universities, and Professional Schools",State of Washington,Pullman,Whitman,Ecology: Eastern Regional Office,60798,0,60732,29,36,0,0,0,0,,2,"(46.728702, -117.151481)",POINT (-117.15148099999999 46.728702)
Spectrum Glass Company - Woodinville,2012,Minerals,Glass Production,327211,Flat Glass Manufacturing,Vanguard Properties Co.,Woodinville,King,Puget Sound Clean Air Agency,12025,0,12014,5,6,0,0,0,0,,1,"(47.777004, -122.148978)",POINT (-122.14897799999999 47.777004)
Gas Transmission Northwest Compressor Station 8 - Wallula,2018,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,TransCanada Northern Border Inc.,Wallula,Walla Walla,Ecology: Eastern Regional Office,127685,0,127153,460,72,0,0,0,0,,3,"(46.053153, -118.843934)",POINT (-118.84393399999999 46.053153)
Naval Base Kitsap - Bremerton,2017,Government,National Security,928110,National Security,US Government,Bremerton,Kitsap,Puget Sound Clean Air Agency,46625,0,46576,22,27,0,0,0,0,,2,"(47.557047, -122.645933)",POINT (-122.645933 47.557047)
Northwest Pipeline C/S - Snohomish,2020,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Snohomish,Snohomish,Puget Sound Clean Air Agency,33754,0,32967,769,18,0,0,0,0,,2,"(47.78825, -122.05859)",POINT (-122.05858999999998 47.78825)
Ascensus Specialties LLC - Elma,2019,Chemicals,Other Chemicals,325188,All Other Basic Inorganic Chemical Manufacturing,Ascensus Specialties LLC,Elma,Grays Harbor,Olympic Region Clean Air Agency,22358,0,22335,11,13,0,0,0,0,,1,"(46.995459, -123.382316)",POINT (-123.382316 46.995459)
Hampton Lumber Mills Washington Inc. - Randle,2016,Wood Products,Lumber Mills,321113,Sawmills,Hampton Lumber Mills Washington Inc.,Randle,Lewis,Southwest Clean Air Agency,63442,62606,0,120,716,0,0,0,0,,2,"(46.533743, -121.917906)",POINT (-121.91790600000002 46.533743)
University of Washington Seattle Campus - Seattle,2016,Government,Education,611310,"Colleges, Universities, and Professional Schools",State of Washington,Seattle,King,Puget Sound Clean Air Agency,87171,0,87081,41,49,0,0,0,0,,2,"(47.653614, -122.303608)",POINT (-122.303608 47.653614)
"Horse Heaven Cattle Feeders, Inc. - Sunnyside",2014,Livestock,Cattle Feedlots,112112,Cattle Feedlots,"Horse Heaven Cattle Feeders, Inc.",Sunnyside,Yakima,Yakima Regional Clean Air Agency,8463,0,0,660,7803,0,0,0,0,,1,"(46.284622, -120.019668)",POINT (-120.019668 46.284622000000006)
Tree Top - Selah Campus,2017,Food Production,Fruit Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",Tree Top Inc.,Selah,Yakima,Yakima Regional Clean Air Agency,14762,0,14746,7,8,0,0,0,0,,1,"(46.64992, -120.52755)",POINT (-120.52755000000002 46.64992)
Seattle-Tacoma International Airport - Seattle,2013,Government,Other Government,488119,Other Airport Operations,Port of Seattle,Seattle,King,Puget Sound Clean Air Agency,16308,0,16291,8,10,0,0,0,0,,1,"(47.443643, -122.302452)",POINT (-122.302452 47.443643)
Emerald City Renewables LLC LFGTE- Graham,2019,Power Plants,"Other Power, Heating, or Cooling Plants",221117,Biomass Electric Power Generation,NECCIF Investments II Inc.,Graham,Pierce,Puget Sound Clean Air Agency,17639,17549,0,27,63,0,0,0,0,,1,"(46.975533, -122.290871)",POINT (-122.29087100000001 46.975533)
The Boeing Company - Auburn Site - Auburn,2013,Manufacturing,Transportation Industry,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,The Boeing Company,Auburn,King,Puget Sound Clean Air Agency,38558,0,38518,18,22,0,0,0,0,,2,"(47.285551, -122.242298)",POINT (-122.242298 47.285551)
Spokane Waste to Energy Facility - Spokane,2015,Power Plants,"Other Power, Heating, or Cooling Plants",562213,Solid Waste Combustors and Incinerators,City of Spokane,Spokane,Spokane,Spokane Regional Clean Air Agency,226238,121724,99530,1944,3041,0,0,0,0,,3,"(47.626529, -117.504278)",POINT (-117.50427800000001 47.626529)
Packaging Corporation of America - Wallula,2018,Pulp and Paper,Kraft Mills,322121,Paper (except Newsprint) Mills,Packaging Corp of America,Wallula,Walla Walla,Ecology: Industrial Section,646437,527640,109951,6326,2520,0,0,0,0,,3,"(46.10396, -118.9184)",POINT (-118.91840000000002 46.10396000000001)
Cathcart Landfill - Snohomish,2019,Waste,Landfills,562111,Solid Waste Collection,Snohomish County,Snohomish,Snohomish,Puget Sound Clean Air Agency,33268,0,231,33037,0,0,0,0,0,,2,"(47.870014, -122.118284)",POINT (-122.11828399999999 47.870014)
J.R. Simplot Company - Moses Lake,2015,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",J.R. Simplot Company,Moses Lake,Grant,Ecology: Eastern Regional Office,34886,3790,26871,4197,29,0,0,0,0,,2,"(47.131732, -119.18926)",POINT (-119.18926000000002 47.131732)
REG Grays Harbor LLC - Hoquiam,2020,Petroleum Systems,Other Petroleum Systems,325199,All Other Basic Organic Chemical Manufacturing,Renewable Energy Group Inc.,Hoquiam,Grays Harbor,Olympic Region Clean Air Agency,18305,0,18286,9,10,0,0,0,0,,1,"(46.968196, -123.853622)",POINT (-123.853622 46.968196)
Kettle Falls Generating Station - Kettle Falls,2016,Power Plants,"Other Power, Heating, or Cooling Plants",221119,Other Electric Power Generation,Avista Corp.,Kettle Falls,Stevens,Ecology: Eastern Regional Office,481711,464930,2590,8872,5319,0,0,0,0,,3,"(48.620335, -118.110841)",POINT (-118.110841 48.620335)
United Parcel Service Co,2020,Transportation Fuel Supplier,Transportation Fuel Supplier,481112,Scheduled Freight Air Transportation,"UPS, Inc.",NA,NA,NA,53513,0,53513,0,0,0,0,0,0,,,,
Horn Rapids Sanitary Landfill - Richland,2012,Waste,Landfills,562212,Solid Waste Landfill,City of Richland,Richland,Benton,Benton Clean Air Agency,20350,0,0,20350,0,0,0,0,0,,1,"(46.346663, -119.348118)",POINT (-119.348118 46.34666300000001)
Lamb Weston - Connell,2019,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Connell,Franklin,Ecology: Eastern Regional Office,36114,0,36077,17,20,0,0,0,0,,2,"(46.651389, -118.871944)",POINT (-118.87194400000001 46.651389)
"SGL Carbon, LLC - Moses Lake",2019,Manufacturing,Transportation Industry,335991,Carbon and Graphite Product Manufacturing,SGL Automotive Carbon Fibers LLC,Moses Lake,Grant,Ecology: Eastern Regional Office,12398,0,12386,6,7,0,0,0,0,,1,"(47.208993, -119.285437)",POINT (-119.285437 47.208993)
"Bio Energy Washington, LLC - Maple Valley",2015,Power Plants,"Other Power, Heating, or Cooling Plants",221119,Other Electric Power Generation,Bio Energy Washington,Maple Valley,King,Puget Sound Clean Air Agency,30714,29156,1403,46,108,0,0,0,0,,2,"(47.455871, -122.041817)",POINT (-122.041817 47.455871)
Gas Transmission Northwest Compressor Station 6 - Rosalia,2013,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,TransCanada Northern Border Inc.,Rosalia,Spokane,Spokane Regional Clean Air Agency,86778,0,80719,6014,45,0,0,0,0,,2,"(47.277256, -117.406737)",POINT (-117.40673699999999 47.277256)
Tesoro Refining & Marketing Company LLC,2015,Transportation Fuel Supplier,Transportation Fuel Supplier,324110,Petroleum Refineries,Marathon Petroleum Corp,NA,NA,NA,5604007,266252,5337755,0,0,0,0,0,0,,,,
Northwest Pipeline C/S - Snohomish,2014,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Snohomish,Snohomish,Puget Sound Clean Air Agency,38507,0,38029,457,21,0,0,0,0,,2,"(47.78825, -122.05859)",POINT (-122.05858999999998 47.78825)
Puget Sound Energy LDC - statewide,2018,Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,Puget Holdings LLC,Bellevue,King,Puget Sound Clean Air Agency,61071,0,90,60981,0,0,0,0,0,,2,,
Northwest Hardwoods Inc. - Centralia,2020,Wood Products,Lumber Mills,321113,Sawmills,Littlejohn & Co. LLC,Centralia,Lewis,Southwest Clean Air Agency,8347,4892,3387,11,58,0,0,0,0,,1,"(46.734454, -122.991963)",POINT (-122.99196300000001 46.734454)
BP West Coast Products LLC,2016,Transportation Fuel Supplier,Transportation Fuel Supplier,424710,Petroleum Bulk Stations and Terminals,BP America Inc.,NA,NA,NA,5544958,0,5544958,0,0,0,0,0,0,,,,
Sierra Pacific Industries - Centralia,2014,Wood Products,Lumber Mills,321113,Sawmills,Sierra Pacific Industries,Centralia,Lewis,Southwest Clean Air Agency,45935,45330,0,87,519,0,0,0,0,,2,"(46.756413, -122.995433)",POINT (-122.99543300000002 46.756413)
Seattle-Tacoma International Airport - Seattle,2016,Government,Other Government,488119,Other Airport Operations,Port of Seattle,Seattle,King,Puget Sound Clean Air Agency,13890,0,13876,7,8,0,0,0,0,,1,"(47.443643, -122.302452)",POINT (-122.302452 47.443643)
Sierra Pacific Industries - Aberdeen,2012,Wood Products,Lumber Mills,321113,Sawmills,Sierra Pacific Industries,Aberdeen,Grays Harbor,Olympic Region Clean Air Agency,241205,234001,2084,1997,3124,0,0,0,0,,3,"(46.971875, -123.775526)",POINT (-123.775526 46.971875)
Lamb Weston - Richland,2018,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Richland,Benton,Benton Clean Air Agency,84290,7567,60028,16635,61,0,0,0,0,,2,"(46.309314, -119.297267)",POINT (-119.29726700000002 46.309314)
Chevron U.S.A. Inc.,2014,Transportation Fuel Supplier,Transportation Fuel Supplier,424710,Petroleum Bulk Stations and Terminals,Chevron U.S.A. Inc.,NA,NA,NA,3154826,193502,2961324,0,0,0,0,0,0,,,,
Lamb Weston - Connell,2014,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Connell,Franklin,Ecology: Eastern Regional Office,38810,0,38770,18,22,0,0,0,0,,2,"(46.651389, -118.871944)",POINT (-118.87194400000001 46.651389)
Marathon Anacortes Refinery - Anacortes,2014,Petroleum Systems,Petroleum Refineries,324110,Petroleum Refineries,Marathon Petroleum Corp,Anacortes,Skagit,Northwest Clean Air Agency,1344336,0,1335703,4083,4550,0,0,0,0,,4,"(48.493816, -122.564845)",POINT (-122.564845 48.493816)
CityServiceValcon LLC,2017,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),"CityServiceValcon, LLC",NA,NA,NA,396100,1905,394195,0,0,0,0,0,0,,,,
Southern Counties Oil Co Ltd,2014,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),"Southern Counties Oil Co., A California LP",NA,NA,NA,96845,4022,92823,0,0,0,0,0,0,,,,
Naval Air Station Whidbey Island - Oak Harbor,2019,Government,National Security,928110,National Security,US Government,Oak Harbor,Island,Northwest Clean Air Agency,13092,0,13078,7,8,0,0,0,0,,1,"(48.345281, -122.669741)",POINT (-122.669741 48.345281)
Tesoro Refining & Marketing Company LLC,2016,Transportation Fuel Supplier,Transportation Fuel Supplier,324110,Petroleum Refineries,Marathon Petroleum Corp,NA,NA,NA,5228903,273546,4955357,0,0,0,0,0,0,,,,
Hampton Lumber Mills Washington Inc. - Randle,2018,Wood Products,Lumber Mills,321113,Sawmills,Hampton Lumber Mills Washington Inc.,Randle,Lewis,Southwest Clean Air Agency,61571,60760,0,117,695,0,0,0,0,,2,"(46.533743, -121.917906)",POINT (-121.91790600000002 46.533743)
"Tyson Fresh Meats, Inc. - Wallula",2018,Food Production,Meat Products,311611,Animal (except Poultry) Slaughtering,"Tyson Foods, Inc",Wallula,Walla Walla,Ecology: Eastern Regional Office,97207,0,21598,75596,12,0,0,0,0,,2,"(46.137521, -118.913051)",POINT (-118.91305099999998 46.137521)
Naval Air Station Whidbey Island - Oak Harbor,2020,Government,National Security,928110,National Security,US Government,Oak Harbor,Island,Northwest Clean Air Agency,14078,0,14063,7,9,0,0,0,0,,1,"(48.345281, -122.669741)",POINT (-122.669741 48.345281)
Puget Sound Energy - Frederickson Generating Station - Tacoma,2017,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Tacoma,Pierce,Puget Sound Clean Air Agency,44365,0,44319,21,25,0,0,0,0,,2,"(47.079716, -122.364711)",POINT (-122.364711 47.079716)
Ash Grove Cement Company - Seattle,2020,Minerals,Cement Production,327310,Cement Manufacturing,Ash Grove Cement Co.,Seattle,King,Puget Sound Clean Air Agency,346010,0,345328,265,417,0,0,0,0,,3,"(47.56799, -122.34255)",POINT (-122.34255 47.56799)
Lamb Weston - Quincy,2013,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Quincy,Grant,Ecology: Eastern Regional Office,39846,0,39804,19,23,0,0,0,0,,2,"(47.234413, -119.869914)",POINT (-119.869914 47.234413)
Northwest Pipeline Roosevelt C/S - Bickleton,2019,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Bickleton,Klickitat,Ecology: Central Regional Office,35402,0,31155,4229,18,0,0,0,0,,2,"(45.849504, -120.08083)",POINT (-120.08083 45.849504)
"SEH America, Inc - Vancouver",2016,Manufacturing,Electronics Industry,334413,Semiconductor and Related Device Manufacturing,SEH America Inc.,Vancouver,Clark,Southwest Clean Air Agency,8598,0,8589,4,5,0,0,0,0,,1,"(45.649912, -122.553612)",POINT (-122.55361199999999 45.649912)
Basic American Foods - Moses Lake,2018,Food Production,Potato Products,311423,Dried and Dehydrated Food Manufacturing,Basic American Inc.,Moses Lake,Grant,Ecology: Eastern Regional Office,24016,0,23991,11,13,0,0,0,0,,1,"(47.075183, -119.220408)",POINT (-119.22040799999999 47.075183)
Grant County Landfill 1 - Ephrata,2017,Waste,Landfills,562212,Solid Waste Landfill,Grant County,Ephrata,Grant,Ecology: Eastern Regional Office,44881,0,0,44881,0,0,0,0,0,,2,"(47.270759, -119.573764)",POINT (-119.573764 47.270759)
Puget Sound Energy T&D - statewide,2015,Power Plants,Electrical Transmission and Distribution,221122,Electric Power Distribution,Puget Holdings LLC,Bellevue,King,Puget Sound Clean Air Agency,2864,0,0,0,0,0,0,2864,0,,1,"(47.61345, -122.19454)",POINT (-122.19453999999999 47.61345)
Gas Transmission Northwest Compressor Station 6 - Rosalia,2020,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,TransCanada Northern Border Inc.,Rosalia,Spokane,Spokane Regional Clean Air Agency,100383,0,99736,591,56,0,0,0,0,,3,"(47.277256, -117.406737)",POINT (-117.40673699999999 47.277256)
Darigold - Sunnyside,2016,Food Production,Dairy Products,311513,Cheese Manufacturing,Darigold Inc.,Sunnyside,Yakima,Yakima Regional Clean Air Agency,31480,0,31448,15,17,0,0,0,0,,2,"(46.30058, -120.015675)",POINT (-120.01567500000002 46.30058)
"SEH America, Inc - Vancouver",2014,Manufacturing,Electronics Industry,334413,Semiconductor and Related Device Manufacturing,SEH America Inc.,Vancouver,Clark,Southwest Clean Air Agency,10788,0,10777,5,6,0,0,0,0,,1,"(45.649912, -122.553612)",POINT (-122.55361199999999 45.649912)
Sierra Pacific Industries - Shelton,2018,Wood Products,Lumber Mills,321113,Sawmills,Sierra Pacific Industries,Shelton,Mason,Olympic Region Clean Air Agency,74881,73894,0,142,845,0,0,0,0,,2,"(47.213448, -123.096517)",POINT (-123.09651699999999 47.213448)
Phillips 66 Ferndale Refinery - Ferndale,2020,Petroleum Systems,Petroleum Refineries,324110,Petroleum Refineries,Phillips 66 Company,Ferndale,Whatcom,Northwest Clean Air Agency,801159,0,797447,1728,1984,0,0,0,0,,3,"(48.830142, -122.692114)",POINT (-122.69211400000002 48.830142)
WestRock LLC - Longview,2017,Pulp and Paper,Kraft Mills,322130,Paperboard Mills,Westrock Corp.,Longview,Cowlitz,Ecology: Industrial Section,1645278,1460893,177823,1313,5249,0,0,0,0,,4,"(46.10361, -122.92167)",POINT (-122.92167 46.10361)
Washington State University - Pullman,2019,Government,Education,611310,"Colleges, Universities, and Professional Schools",State of Washington,Pullman,Whitman,Ecology: Eastern Regional Office,66455,0,66377,34,45,0,0,0,0,,2,"(46.728702, -117.151481)",POINT (-117.15148099999999 46.728702)
NW Natural LDC - WA - statewide,2016,Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,NW Natural,Portland,Clark,Southwest Clean Air Agency,7984,0,10,7974,0,0,0,0,0,,1,,
EPIC Aviation LLC,2020,Transportation Fuel Supplier,Transportation Fuel Supplier,424710,Petroleum Bulk Stations and Terminals,Downstream Aviation LP,NA,NA,NA,38666,0,38666,0,0,0,0,0,0,,,,
The Boeing Company,2015,Transportation Fuel Supplier,Transportation Fuel Supplier,336411,Aircraft Manufacturing,The Boeing Company,NA,NA,NA,118525,0,118525,0,0,0,0,0,0,,,,
U.S. Oil & Refining Co.,2019,Transportation Fuel Supplier,Transportation Fuel Supplier,324110,Petroleum Refineries,Par Pacific Holdings Inc.,NA,NA,NA,1937247,0,1937247,0,0,0,0,0,0,,,,
Fred Meyer Stores Inc,2018,Transportation Fuel Supplier,Transportation Fuel Supplier,445110,Supermarkets and other grocery stores,Kroger Co,NA,NA,NA,382768,0,382768,0,0,0,0,0,0,First year reporting.,,,
Grant County Landfill 1 - Ephrata,2013,Waste,Landfills,562212,Solid Waste Landfill,Grant County,Ephrata,Grant,Ecology: Eastern Regional Office,38883,0,0,38883,0,0,0,0,0,,2,"(47.270759, -119.573764)",POINT (-119.573764 47.270759)
SDS Lumber Company - Bingen,2019,Wood Products,Lumber Mills,321113,Sawmills,SDS Lumber Company,Bingen,Klickitat,Ecology: Central Regional Office,69304,68240,153,131,780,0,0,0,0,,2,"(45.713913, -121.468688)",POINT (-121.468688 45.713913000000005)
Horn Rapids Sanitary Landfill - Richland,2019,Waste,Landfills,562212,Solid Waste Landfill,City of Richland,Richland,Benton,Benton Clean Air Agency,24156,0,0,24156,0,0,0,0,0,,1,"(46.346663, -119.348118)",POINT (-119.348118 46.34666300000001)
Sinclair Oil Corporation,2015,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),Sinclair Oil Corporation,NA,NA,NA,89794,0,89794,0,0,0,0,0,0,,,,
The Boeing Company - Renton,2017,Manufacturing,Transportation Industry,336411,Aircraft Manufacturing,The Boeing Company,Renton,King,Puget Sound Clean Air Agency,20112,0,20092,10,11,0,0,0,0,,1,"(47.498257, -122.211346)",POINT (-122.211346 47.498257)
Waste Management Greater Wenatchee Regional Landfill - East Wenatchee,2012,Waste,Landfills,562212,Solid Waste Landfill,Waste Management Inc.,East Wenatchee,Douglas,Ecology: Central Regional Office,36141,0,0,36141,0,0,0,0,0,,2,"(47.405083, -120.167444)",POINT (-120.167444 47.405083)
TAC Energy,2019,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),Truman Arnold Companies,NA,NA,NA,113276,5889,107387,0,0,0,0,0,0,,,,
Naval Base Kitsap Bangor - Silverdale,2012,Government,National Security,928110,National Security,US Government,Silverdale,Kitsap,Puget Sound Clean Air Agency,24063,0,24036,12,15,0,0,0,0,,1,"(47.699284, -122.696926)",POINT (-122.696926 47.699284)
"Nucor Steel Seattle, Inc, - Seattle",2015,Metals,Iron and Steel Production,331111,Iron and Steel Mills,Nucor Corporation,Seattle,King,Puget Sound Clean Air Agency,115173,0,115128,20,24,0,0,0,0,,3,"(47.569331, -122.367332)",POINT (-122.367332 47.569331)
Ponderay Newsprint Company - Usk,2013,Pulp and Paper,Other Pulp and Paper,322122,Newsprint Mills,Ponderay Newsprint Company,Usk,Pend Oreille,Ecology: Eastern Regional Office,50424,48181,1600,93,551,0,0,0,0,,2,"(48.289771, -117.271359)",POINT (-117.27135900000002 48.289771)
"SGL Carbon, LLC - Moses Lake",2015,Manufacturing,Transportation Industry,335991,Carbon and Graphite Product Manufacturing,SGL Automotive Carbon Fibers LLC,Moses Lake,Grant,Ecology: Eastern Regional Office,12858,0,12844,6,7,0,0,0,0,First year reporting.,1,"(47.208993, -119.285437)",POINT (-119.285437 47.208993)
"Boise Cascade Wood Products, LLC.  Kettle Falls Plywood - Kettle Falls",2017,Wood Products,Other Wood Products,321212,Softwood Veneer and Plywood Manufacturing,Boise Cascade Company,Kettle Falls,Stevens,Ecology: Eastern Regional Office,70889,54924,15216,113,637,0,0,0,0,,2,"(48.613175, -118.116106)",POINT (-118.116106 48.613175)
Frito Lay - Vancouver,2015,Food Production,Other Food Products,311919,Other Snack Food Manufacturing,PepsiCo Inc,Vancouver,Clark,Southwest Clean Air Agency,15923,0,15906,8,9,0,0,0,0,,1,"(45.657037, -122.692)",POINT (-122.692 45.657037)
