"Year.Reported.to.CDP","Account.Number","Organization","City","Country","CDP.Region","Access","City.boundary","Type.of.target","Sector","Identify.and.explain.sources.that.differ.from.the.inventory","Target.boundary.relative.to.city.boundary","Base.year","Year.target.was.set","Base.year.emissions..metric.tonnes.CO2e.","Percentage.reduction.target","Target.year","Target.year.absolute.emissions..metric.tonnes.CO2e.","Projected.population.in.target.year","Intensity.unit..Emissions.per.","Base.year.emissions.per.intensity.unit..metric.tonnes.CO2e.per.denominator.","Estimated.business.as.usual.absolute.emissions.in.target.year..metric.tonnes.CO2e.","Percentage.of.target.achieved.so.far","Select.the.initiatives.that.this.target.contributes.towards","Description.of.the.target.and.the.modelling.methodology.ies..and.parameters.used.to.define.it","Does.this.target.align.with.the.global.1.5...2..C.pathway.set.out.in.the.Paris.Agreement.","Does.this.target.align.to.a.requirement.from.a.higher.level.of.government.","Target.description","Population","Population.Year","City.Location","Last.update","name","entity_type","iso"
2021,50571,"City of Victoria, BC","Victoria","Canada","North America","public","City / Municipality","Base year emissions (absolute) target","All emissions sources included in city inventory","Transportation emissions target includes transboundary emissions of vehicles registered within city boundaries. Grid/Power generation emissions are included in target.","Same (city-wide) – covers entire city and nothing else",2007,2016,412875,80,2050,82575,NA,NA,NA,NA,11,"Declaring Climate Emergency; Global Covenant of Mayors for Climate & Energy; Individual City Commitment",NA,"Yes - 1.5 °C","Yes, but it exceeds its scale or requirement","80% reduction in GHG emissions from 2007 baseline by 2050. Shift away from fossil fuels to 100% renewable energy by 2050. 50% reduction in community GHG emissions by 2030",94000,2019,"POINT (-123.366 48.4284)","2021-10-04T09:30:14.243","Victoria, BC","City","CAN"
2021,859131,"Inazawa City",NA,"Japan","East Asia","public",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-10-04T09:30:14.243","Inazawa","City","JPN"
2021,35864,"Ekurhuleni Metropolitan Municipality","Ekurhuleni","South Africa","Africa","public","Metropolitan area","Fixed level target","Other, please specify: Water and Wastewater","The City does not have a full inventory at the time of reporting but calculations for the sectors have been done as part of the Green Cities Action Plan. These have been done using Apex and the numbers and targets provided in this section are based on that.","Same (city-wide) – covers entire city and nothing else",NA,2019,NA,NA,2030,0,4278534,NA,NA,NA,8.5,"Cities Race to Zero; Durban Adaptation Charter; Global Covenant of Mayors for Climate & Energy",NA,"Do not know","Yes","N/A",3774638,2021,"POINT (28.3462 -26.1777)","2021-10-04T09:30:14.243","Ekurhuleni","City","ZAF"
2021,50559,"City of St Catharines, ON","St Catharines","Canada","North America","public","City / Municipality","Base year intensity target","All emissions sources included in city inventory","1990 absolute emissions are based on provincial per capita average and the 1990 population in St. Catharines.","Same (city-wide) – covers entire city and nothing else",1990,2017,2285663,15,2020,1338310,NA,"Metric tonnes of CO2e per capita",17.7,NA,100,"Declaring Climate Emergency; Global Covenant of Mayors for Climate & Energy; Individual City Commitment",NA,"Yes - 2 °C","Yes, and it exceeds its scale or requirement","This is a community wide target that also includes corporate administrative emissions.",135520,2018,"POINT (-79.2469 43.1594)","2021-10-04T09:30:14.243","St. Catharines, ON","City","CAN"
2021,859138,"Shima City",NA,"Japan","East Asia","public","City / Municipality","Base year emissions (absolute) target","All emissions sources included in city inventory",NA,"Same (city-wide) – covers entire city and nothing else",2013,2025,376300,NA,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-10-04T09:30:14.243","Shima","City","JPN"
2021,826212,"Junta intermunicipal para la gestión integral de la cuenca del Río Coahuayana (JIRCO)",NA,"Mexico","Latin America","public","Other, please specify: region","No target",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,311676,2020,NA,"2021-10-04T09:30:14.243","Junta intermunicipal para la gestión integral de la cuenca del Río Coahuayana (JIRCO)","City","MEX"
2021,31156,"Municipality of Curitiba","Curitiba","Brazil","Latin America","public","City / Municipality","Base year emissions (absolute) target","All emissions sources included in city inventory",NA,"Same (city-wide) – covers entire city and nothing else",2016,2030,3505046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1948626,2020,"POINT (-49.2647 -25.4311)","2021-10-04T09:30:14.243","Curitiba","City","BRA"
2021,859150,"Shiso City",NA,"Japan","East Asia","public",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-10-04T09:30:14.243","Shiso","City","JPN"
2021,54078,"City of Hayward, CA","Hayward","United States of America","North America","public","City / Municipality","Base year emissions (absolute) target","All emissions sources included in city inventory",NA,"Same (city-wide) – covers entire city and nothing else",2005,2009,1082891,20,2020,866312.8,NA,NA,NA,NA,25.7,"Individual City Commitment",NA,"Do not know","Yes, but it exceeds its scale or requirement","California's state target for 2020 uses a different baseline than Hayward. Given the different baseline, the equivalent is for Hayward to reduce emissions by 15% from the 2005 baseline by 2020. Hayward set a more ambitious goal of 20% below 2005 by 2020. The City's General Plan outlines a goal of 61.7% by 2040 and 82.5% by 2050. These goals are not as ambitious as the state's goal outlined in SB32 and the state's goal of carbon neutrality by 2045. Due to this, City amended the General Plan to update the goals to be 30% by 2025, 55% by 2030, and carbon neutral by 2045. This General Plan Amendment was approved by Council in June 2020.",160197,2019,"POINT (-122.081 37.6689)","2021-10-04T09:30:14.243","Hayward, CA","City","USA"
2021,60392,"Municipalidad de San Isidro (Lima)","San Isidro (Lima)","Peru","Latin America","public","City / Municipality","Base year emissions (absolute) target","Waste","Don't differ","Same (city-wide) – covers entire city and nothing else",2017,2021,2040,86,2025,285.6,NA,NA,NA,NA,14,"Global Covenant of Mayors for Climate & Energy; One Planet City Challenge",NA,"Yes - 1.5 °C","Yes","The segregation program at the source and selective collection of inorganic solid waste of residential origin of the municipality of San Isidro called “Recicla San Isidro” was initiated in June 2015 and is currently in force. For example, during 2020, 13,782 single-family and multi-family homes participated in the 21 subsectors of the district, with a participation of more than 60% of these homes and a recovery of inorganic solid waste of 545.23 tons; thus avoiding the emission of more than 150 tons of greenhouse gases. By 2050, it is intended that all homes participate in the program, doubling the current amount of inorganic solid waste recovered and avoiding the emission of up to 280 tons of equivalent greenhouse gases per year.",65333,2017,"POINT (-77.0273 -12.0977)","2021-10-04T09:30:14.243","San Isidro (Lima)","City","PER"
2021,859142,"Fukuchiyama City",NA,"Japan","East Asia","public",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-10-04T09:30:14.243","Fukuchiyama","City","JPN"
2021,60384,"Alcaldía de Yopal",NA,"Colombia","Latin America","public","City / Municipality","No target",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179355,2020,NA,"2021-10-04T09:30:14.243","Yopal","City","COL"
2021,840030,"Reconquista",NA,"Argentina","Latin America","public","City / Municipality","Baseline scenario (business as usual) target","Other, please specify: Energía, Transporte y Desechos","Se toman a consideración las fuentes de emisión clasificadas en el inventario como básicas (siguiendo el estándar GPC). El nivel BASIC (básico) cubre las fuentes de emisión que se producen en casi todas las ciudades (energía estacionaria, transporte dentro de los límites y desechos generados en la ciudad), donde las metodologías y datos de cálculo están fácilmente disponibles. Se corresponde a un marco de reporte inducido por la ciudad. En detalle, las emisiones cubiertas son: - Energía Estacionaria, alcances 1 y 2 - Transporte, alcance 1 (se utiliza el método de venta de combustible) y 2- Residuos, alcance 1 y 3Se decidió no incorporar las emisiones de agricultura y ganadería y las emisiones de alcance 3 de energía estacionaria (incluidas en el inventario) ya que sobre estas, los gobiernos locales no tienen capacidad de realizar acciones concretas para mitigarlas. Se incluyeron sólo aquellas que pueden ser gestionados más fácilmente a escala local.","Same (city-wide) – covers entire city and nothing else",2016,2019,247659,18,2030,NA,NA,NA,NA,434607,NA,NA,"Durante el 2014, en Argentina se emitieron 368 millones de toneladas de dióxido de carbono equivalente (MtCO2e). Por otro lado, las emisiones proyectadas al año 2030 bajo el escenario BAU ascienden a 592 MtCO2e . De esta forma, el aumento porcentual relativo de emisiones proyectado para el 2030, desde el año 2016, es del 53,26%.Este aumento será considerado para la preparación del escenario BAU de Reconquista donde se proyectarán las emisiones alcanzadas por el nivel BÁSICO. Éste nivel abarca los sectores en los cuales los gobiernos locales poseen mayor capacidad de realizar acciones concretas, y que pueden ser gestionados más fácilmente que los incluidos en el nivel BÁSICO+.Para correlacionar el escenario Business as Usual nacional con el de Reconquista se realizó un ajuste considerando las tasas de aumento poblacional. El factor de ajuste es equivalente a la relación entre la variación poblacional en el período 2016-2030 a nivel nacional y local.El INDEC estima que durante este tiempo la población argentina aumentará un 13,64% y un 19,33% en el municipio. Por lo tanto el factor de ajuste resulta de 1,417. Así, el aumento de emisiones proyectado para Reconquista será del 75,49%. Aumento de emisiones en Reconquista 2016−2030 (%)= 53,26%∗1,417=75,49%Tomando de base el inventario BÁSICO de Reconquista del 2016, las emisiones proyectadas bajo el escenario tendencial al 2030 serán de 433.607,61 tCO2e. Emisiones Reconquista al 2030 (tCO2e)=247.659,60 tCO2e∗1,7549= 434.607,61 tCO2eTomando como referencia la meta de reducción de emisiones presentada por el país y acorde a lo establecido en el Pacto de Alcaldes por el Clima y la Energía, Reconquista se fija una meta aún más ambiciosa, reducir sus emisiones de gases de efecto en al menos un 18% respecto al escenario BAU al 2030, considerando las fuentes de emisión del alcance BÁSICO. De esta forma, en 2030, Reconquista no emitirá más de 356.378,24 tCO2e.","Do not know","Do not know","Se espera que la reducción de emisiones propuesta por Reconquista y las medidas que se desarrollen para su concreción, se sumen a los esfuerzos nacionales.",78570,2016,NA,"2021-10-04T09:30:14.243","Reconquista","City","ARG"
2021,863190,"Renca",NA,"Chile","Latin America","public","City / Municipality","Baseline scenario (business as usual) target","Energy",NA,"Same (city-wide) – covers entire city and nothing else",2017,2030,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,"RENCA 30/30: PULMÓN VERDE Y LÍDER EN INNOVACIÓN ENERGÉTICA RENCA PULMÓN VERDE Y LÍDER EN INNOVACIÓN ENERGÉTICA TRABAJANDO EN COLABORACIÓN CON LA COMUNIDAD Y EL SECTOR INDUSTRIAL PARA UN FUTURO SUSTENTABLE REDUCIENDO AL 2030 EL CONSUMO ENERGÉTICO COMUNAL EN UN 30%, TOMANDO COMO LÍNEA BASE EL CONSUMO DEL AÑO 2017. Eje 1: Educación y CulturaSensibilizar y concientizar a la comunidad en los temas de energías renovables y uso eficiente de la energía.1. 100% de los estudiantes de establecimientos educacionales bajo administración municipal están sensibilizados en temas de energía y medio ambiente.2. 100% de las juntas de vecinos vigentes de la comuna de Renca están sensibilizados, respecto a:3. 100% de las macro zonas cuentan con líderes vecinales de gestión energética.Eje 2: Municipio Líder EnergéticoFomentar acciones destinadas a reducir el consumo energético del sector público, y promover iniciativas sustentables que mejoren la calidad de vida de la comunidad renquina.1. El municipio es un promotor en eficiencia energética y energías renovables en su infraestructura pública:a. 50% las actividades del municipio consideran criterios de sustentabilidad.a. 50% de los proyectos se acogen a los lineamientos de eficiencia energética.b. 100% del alumbrado público es con tecnología LED.Eje 3: Industria, Comercio y Servicios Sustentable1. Desarrollo de al menos un (1) proyecto piloto de energía distrital o aprovechamiento energético de residuos.2. Fomentar el compromiso del sector industrial en la reducción de un 20% de las emisiones de CO2 del sector.3. Promover que las grandes empresas inviertan en proyectos comunitarios de eficiencia energética o energías renovables.4. Fomentar las buenas prácticas de sustentabilidad y eficiencia energética en proyectos de inversión privada en la comuna.Eje 4: Energía ResidencialImplementar medidas de eficiencia que permitan reducir el consumo energético en los hogares más vulnerables de Renca.1. Promover que los nuevos proyectos de vivienda incorporen aspectos de eficiencia energética y/o energías renovables.2. 30% de las viviendas existentes cuenten con paneles solares térmicos para el calentamiento de agua.3. Fomentar la renovación de la iluminación convencional por iluminación eficiente.4. Mejoramiento del acceso a energía, seguridad y confort térmico a los grupos más vulnerables de la comuna.","Do not know","Yes","la participación de emisiones de gases de efecto invernadero (GEI) de Chile, en el total de emisiones a nivel mundial, es de aproximadamente 0,25% al 2016.4 El promedio mundial de emisiones de CO2  por persona, para ese mismo año, es de 4,4 tCO2y según los cálculos del Inventario Nacional de Gases de Efecto Invernadero (INGEI, 2016), Chile sobrepasa por muy poco esa cifra,con 4,7 tCO2  por persona, y está muy por debajo del promedio de los países de la OCDE, que es de 9,2 tCO2  por persona (Tercer IBA,2018). Sin embargo, es importante notar que las emisiones del país se han incrementado en un 114,7% desde 1990 y en un 20,0%desde 2007. El principal GEI emitido en 2016 fue el CO2  (78,7%), seguido del CH4  (12,5 %), N2 O (6 %), y los gases fluorados (2,8 %).El Sector Energía (correspondiente al consumo de combustibles fósiles) es el principal emisor de GEI en nuestro país, representando el 78% de las emisiones totales en 2016, mayoritariamente por el consumo de carbón mineral para la generación eléctrica y diésel en el caso del transporte terrestre. El sector Uso de la Tierra, Cambio de Uso de la Tierra y Silvicultura (UTCUTS) es el único que absorbe GEI en el país, manteniéndose como sumidero en el registro de emisiones disponible desde 1990.",161959,2021,NA,"2021-10-04T09:30:14.243","Renca","City","CHL"
2021,848409,"Lince",NA,"Peru","Latin America","public","City / Municipality","No target",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55000,2020,NA,"2021-10-04T09:30:14.243","Lince","City","PER"
2021,36032,"Ville de Dakar","Dakar","Senegal","Africa","public","City / Municipality","Baseline scenario (business as usual) target","All emissions sources included in city inventory",NA,"Same (city-wide) – covers entire city and nothing else",2016,2020,2016,54,2050,NA,NA,NA,NA,9824215,NA,"Deadline 2020 - Delivering the 1.5 degree ambition of the Paris Agreement in a resilient, inclusive way","La méthodologie utilisée est celle de l'outil de planification des scénarios - Pathways 1.5 développé par le C40.  Le modèle Pathways est un outil de planification de la réduction desémissions à l’échelle d’une ville et peut aider les villes à identifier le ou les objectifs de réductions des émissions et les stratégies prioritaires et globales d’atténuations. En effet, l'inventaire des GES, avec comme année de référence  2016, a permis d'élaborer le Business as Usual (BAU) jusqu'à l'année cible conformément à l'accord de Paris sur le climat. Aussi, suite aux recommendations du C40, GCOM, JRC et COMSSA deux cibles intermédiaires sont considérées : 2030 et 2040.","Yes - 1.5 °C","Yes","L'Objectif de la Ville est plus ambitieux que celui du pays décliné dans la Contribution Déterminée au niveau National (CDN)",1252786,2016,"POINT (-17.366 14.7645)","2021-10-04T09:30:14.243","Dakar","City","SEN"
2021,54088,"City of Peterborough, ON","Peterborough","Canada","North America","public","City / Municipality","Base year emissions (absolute) target","All emissions sources included in city inventory",NA,"Local Government Operations - covers only emission sources owned and operated by local government",2011,2016,32225,30,2031,22557.5,NA,NA,NA,NA,21,"Individual City Commitment",NA,"No","No","The City established its Climate Change Action Plan that targeted 30% GHG reductions from all city-owned and operated corporate facilities (buildings, fleet, streetlights, and waste) by 2031 from 2011 levels.",82094,2016,NA,"2021-10-04T09:30:14.243","Peterborough, ON","City","CAN"
2021,852523,"Stroud District Council",NA,"United Kingdom","Europe","public","Local government area within a greater city / metropolitan area","No target",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119964,2019,NA,"2021-10-04T09:30:14.243","Stroud District","City","GBR"
2021,50566,"City of Anchorage, AK","Anchorage","United States of America","North America","public","City / Municipality","Base year emissions (absolute) target","All emissions sources included in city inventory",NA,"Same (city-wide) – covers entire city and nothing else",2015,2019,5178548,80,2050,1035709.6,NA,NA,NA,NA,NA,"Global Covenant of Mayors for Climate & Energy",NA,"Do not know","Do not know","Through the Climate Action Plan, Anchorage has a goal of reducing GHG emissions 80% from 2008 levels by 2050, with an interim goal of 40% by 2030. Due to lack of available data, the Municipality is revising its baseline year to 2015. The CAP acknowledges, however, that in its current state, it will not ensure they are met. Additional resources and planning are necessary to meet the goals.",295365,2018,"POINT (-149.9 61.2181)","2021-10-04T09:30:14.243","Anchorage, AK","City","USA"
2021,863407,"Town of Durham, NH",NA,"United States of America","North America","public","City / Municipality","Fixed level target","All emissions sources included in city inventory",NA,"Same (city-wide) – covers entire city and nothing else",NA,2021,NA,NA,2050,0,NA,NA,NA,NA,NA,"Global Covenant of Mayors for Climate & Energy",NA,"Yes - 1.5 °C","Yes","In April 2021, the US published its NDC that stated net-zero emissions no later than 2050, which Durham's targets are aligned with. This target will be included in Durham's Master Plan in 2021.",16293,2019,NA,"2021-10-04T09:30:14.243","Durham, NH","City","USA"
2021,73635,"Metepec",NA,"Mexico","Latin America","public","City / Municipality","No target",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,227827,2015,NA,"2021-10-04T09:30:14.243","Metepec","City","MEX"
2021,50380,"Municipio de Bucaramanga","Bucaramanga","Colombia","Latin America","public","City / Municipality","No target",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,581130,2018,"POINT (-73.1227 7.11034)","2021-10-04T09:30:14.243","Bucaramanga","City","COL"
2021,69995,"Kemi","Kemi","Finland","Europe","public","City / Municipality","Base year emissions (absolute) target","All emissions sources included in city inventory",NA,"Same (city-wide) – covers entire city and nothing else",2007,2020,2221,80,2030,444.2,NA,NA,NA,NA,34,"Global Covenant of Mayors for Climate & Energy",NA,"Yes - 1.5 °C","No","Council of Kemi has made a decision to join in (year 2020) The Towards Carbon Neutral Municipalities (Hinku) network, which brings together municipalities, businesses, citizens and experts to create and carry out solutions to reduce greenhouse gas emissions. The municipalities involved are committed to reduce greenhouse gas emissions more extensively and rapidly than EU targets require. The network aims to create solutions that have economic and social benefits as well as environmental advantages. Some Finnish regions are also involved in the Hinku network. The network is coordinated by the Finnish Environment Institute (SYKE). The municipalities in the network are committed to an 80% reduction in greenhouse gas emissions from 2007 levels by 2030.",20742,2020,"POINT (24.5637 65.7364)","2021-10-04T09:30:14.243","Kemi","City","FIN"
2021,54682,"Prefeitura Municipal de Petrolina","Petrolina","Brazil","Latin America","public","City / Municipality","No target",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,293962,2010,"POINT (-40.5079 -9.3835)","2021-10-04T09:30:14.243","Petrolina","City","BRA"
2021,58595,"Municipalidad de Belén","Belén","Costa Rica","Latin America","public","City / Municipality","Base year emissions (absolute) target","Waste","No difieren","Same (city-wide) – covers entire city and nothing else",2017,2018,13612.05,30,2021,9528.435,NA,NA,NA,NA,0,"Global Covenant of Mayors for Climate & Energy",NA,"Yes - 1.5 °C","Yes","Se ha trabajado con el NAMA país. Algunos de los indicadores que se trabajan son: cantidad de residuos sólidos enviados al relleno sanitario, cantidad de residuos por hab/día, cociente de generación had/dia real vs cantidad generación hab/dia (real), estimación de emisiones de GEI por relleno sanitario, estimación de emisiones por prácticas alternativas como compostaje, cantidad de materiales recuperado y comercializado, estimación del modelo WARM o similar de emisiones evitadas por la recuperación de residuos, cantidad de composteras manuales activas en el cantón, índice de inversión ambiental remanente para el cantón. Actualmente se han entregado composteras manuales para residencias y comercios, a través de un plan de incentivos.",24000,2017,"POINT (-84.1503 10.0035)","2021-10-04T09:30:14.243","Belen","City","CRI"
2021,61790,"City of Emeryville, CA","Emeryville","United States of America","North America","public","City / Municipality","Base year emissions (absolute) target","All emissions sources included in city inventory",NA,"Same (city-wide) – covers entire city and nothing else",2005,2016,215977,40,2030,129586.2,NA,NA,NA,NA,95.6,"Global Covenant of Mayors for Climate & Energy; Individual City Commitment",NA,"Yes - 1.5 °C","Yes","The reduction target follows California's adopted legislation: 25% reduction by 2020; 40% reduction by 2030; 80% by 2050. The  percentage listed above is a per-capita number; the population has more than doubled since 2004.",11899,2019,"POINT (-122.285 37.8313)","2021-10-04T09:30:14.243","Emeryville, CA","City","USA"
2021,36274,"Comune di Bologna","Bologna","Italy","Europe","public","City / Municipality","Base year emissions (absolute) target","All emissions sources included in city inventory","No Waste","Same (city-wide) – covers entire city and nothing else",2005,2021,2299923.1,43.55,2030,1298306.58995,NA,NA,NA,NA,48,"Global Covenant of Mayors for Climate & Energy",NA,"Yes - 1.5 °C","Yes, but it exceeds its scale or requirement","Approved   2040 Carbon neutrality scenario",390636,2018,"POINT (11.3387 44.4938)","2021-10-04T09:30:14.243","Bologna","City","ITA"
2021,31148,"City of Amsterdam","Amsterdam","Netherlands","Europe","public","City / Municipality","Base year emissions (absolute) target",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,872497,2021,"POINT (4.89516 52.3702)","2021-10-04T09:30:14.243","Amsterdam","City","NLD"
2021,73666,"Cuyahoga County, OH",NA,"United States of America","North America","public","Province / County","Base year emissions (absolute) target","All emissions sources included in city inventory",NA,"Same (city-wide) – covers entire city and nothing else",2010,2019,26098688,100,2050,0,NA,NA,NA,NA,12.7,"Global Covenant of Mayors for Climate & Energy; Other, please specify: County Climate Coalition",NA,"Yes - 1.5 °C","No","Since 2010, we have decreased our emissions by 12.7%. The county has achieved 12.7% of our goal to net zero emissions by 2050.",1235574,2019,NA,"2021-10-04T09:30:14.243","Cuyahoga County, OH","City","USA"
2021,863239,"New Town Kolkata",NA,"India","South and West Asia","public","Local government area within a greater city / metropolitan area","No target",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63000,2021,NA,"2021-10-04T09:30:14.243","New Kolkata","City","IND"
2021,848567,"Mid-America Regional Council",NA,"United States of America","North America","public","Metropolitan area","Baseline scenario (business as usual) target","Energy",NA,"Same (city-wide) – covers entire city and nothing else",2015,2021,18388429,100,2050,NA,NA,NA,NA,26462925,0,"Global Covenant of Mayors for Climate & Energy","The target embraces a regional goal to reach carbon neutrality by 2050. The inventory was developed using regional geographic information data on housing, transportation, employment, service provision and population demographics compiled by the Regional Council of Governments provided by local government members and regional utilities. Target setting has been determined through extensive stakeholder outreach to businesses, chambers of commerce, utilities, local governments, health agencies and hospitals, advocacy groups and individual citizen engagement. Proposed actions to achieve our target has been evaluated with the CURB Tool: Climate Action for Urban Sustainability. Modeled parameters include fuel switching of grid power to renewable energy; improving energy efficiency of new buildings using building codes to improve building envelopes, HVAC, water heater and low flow water fixtures; introducing programs that allow for similar improvements to the energy efficiency of existing buildings; and promoting the use of energy star appliances and electronics and energy efficient lighting. The effect of broad adoption of LED lighting for street lights and traffic signals will also be considered.","Yes - 2 °C","No",NA,2137829,2015,NA,"2021-10-04T09:30:14.243","Mid-America Regional","City","USA"
2021,58357,"City of West Hollywood, CA","West Hollywood","United States of America","North America","public","City / Municipality","Base year emissions (absolute) target","All emissions sources included in city inventory",NA,"Same (city-wide) – covers entire city and nothing else",2008,2011,583213,25,2035,437409.75,NA,NA,NA,NA,31,"Global Covenant of Mayors for Climate & Energy; STAR Communities",NA,"Do not know","No","The target is 20-25% over 2008 levels. The City will update this goal to reflect California law when it updates the CAP in 2020.",34399,2010,"POINT (-118.362 34.09)","2021-10-04T09:30:14.243","West Hollywood, CA","City","USA"
2021,834143,"Hokuto City",NA,"Japan","East Asia","public","City / Municipality","Base year emissions (absolute) target","Other, please specify: 本市が直接実施する事務・事業を対象",NA,"Local Government Operations - covers only emission sources owned and operated by local government",2013,2020,21566,40,2030,12939.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-10-04T09:30:14.243","Hokuto","City","JPN"
2021,31181,"City of Philadelphia, PA","Philadelphia","United States of America","North America","public","City / Municipality","Base year emissions (absolute) target","All emissions sources included in city inventory",NA,"Same (city-wide) – covers entire city and nothing else",2006,2016,2.1e+07,28,2025,15120000,NA,NA,NA,NA,100,"Deadline 2020 - Delivering the 1.5 degree ambition of the Paris Agreement in a resilient, inclusive way",NA,"Yes - 2 °C","No","By 2025 Philadelphia will reduce citywide carbon emissions 28% from 2006 levels, in line with the United States’ commitment tothe Paris Agreement.  By 2030 the City of Philadelphia local government will lead by example, cutting energy use 20% and carbon emissions 50% and sourcing 100% of clean electricity for municipal operations. By 2050 Philadelphia will reducecitywide carbon emissions at 100% from 2006 levels.For more information, see the Philadelphia Climate Action Playbook: https://www.phila.gov/media/20210113125627/Philadelphia-Climate-Action-Playbook.pdf",1584064,2019,"POINT (-75.1638 39.9523)","2021-10-04T09:30:14.243","Philadelphia, PA","City","USA"
2021,54114,"City of Asheville, NC","Asheville","United States of America","North America","public","City / Municipality","Base year emissions (absolute) target","All emissions sources included in city inventory",NA,"Same (city-wide) – covers entire city and nothing else",2012,2018,1385546,50,2050,692773,NA,NA,NA,NA,NA,NA,NA,"Do not know","No","The City of Asheville's comprehensive plan, adopted in 2018, identifies a goal of 80% carbon reduction by 2050 from a 2012 baseline.",92870,2019,"POINT (-82.5515 35.5951)","2021-10-04T09:30:14.243","Asheville, NC","City","USA"
2021,31009,"City of Copenhagen","Copenhagen","Denmark","Europe","public","City / Municipality","Fixed level target","All emissions sources included in city inventory",NA,"Same (city-wide) – covers entire city and nothing else",NA,2012,NA,NA,2025,0,667743,NA,NA,NA,38,"Deadline 2020 - Delivering the 1.5 degree ambition of the Paris Agreement in a resilient, inclusive way; Global Covenant of Mayors for Climate & Energy; One Planet City Challenge",NA,"Yes - 1.5 °C","Yes, but it exceeds its scale or requirement","The target is carbon neutrality (net zero emissions). The target was adopted in 23rd of August 2012 with the ""CPH 2025 Climate Plan""  and will lead Copenhagen to become the first carbon neutral capital by 2025.",638147,2021,"POINT (12.5683 55.6761)","2021-10-04T09:30:14.243","Copenhagen","City","DNK"
2021,50354,"Alcaldía de Tegucigalpa","Tegucigalpa","Honduras","Latin America","public","City / Municipality","Fixed level target","Other, please specify: Manejo de Recursos Naturales, cuencas hidrográficas y protección forestal",NA,"Local Government Operations – covers only emission sources owned and operated by local government",NA,2021,NA,NA,2040,257988,2579883,NA,NA,NA,10,"Cities Race to Zero; Global Covenant of Mayors for Climate & Energy; ICLEI’s Green Climate Cities Program; Mayors National Climate Action Agenda",NA,"Yes - 1.5 °C","Yes","El país tiene una meta NDC",1293611,2021,"POINT (-87.2044 14.1051)","2021-10-04T09:30:14.243","Tegucigalpa","City","HND"
2021,841540,"South Lakeland District Council",NA,"United Kingdom","Europe","public","Local government area within a greater city / metropolitan area","Base year emissions (absolute) target","All emissions sources included in city inventory","We are looking at the district target in conjunction with a county target of 2037 - so working together with the 6 districts (Allerdale, Barrow in Furness, Carlisle, Copeland, Eden, and us South Lakeland) and Cumbria County Council.","Larger – covers the whole city and adjoining areas",2018,2020,11500000,100,2037,0,NA,NA,NA,NA,NA,"Declaring Climate Emergency; Global Covenant of Mayors for Climate & Energy",NA,"Yes - 1.5 °C","Yes",NA,104955,2019,NA,"2021-10-04T09:30:14.243","South Lakeland","City","GBR"
2021,840255,"Prefeitura de Iperó",NA,"Brazil","Latin America","public","City / Municipality","No target",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37964,2020,NA,"2021-10-04T09:30:14.243","Iperó","City","BRA"
2021,73530,"Town of Lexington, MA","Lexington, MA","United States of America","North America","public","City / Municipality","Base year emissions (absolute) target","Energy",NA,"Same (city-wide) – covers entire city and nothing else",2012,2018,338711,100,2035,0,NA,NA,NA,NA,14,"Cities Race to Zero; Global Covenant of Mayors for Climate & Energy",NA,"Yes - 2 °C","Yes, but it exceeds its scale or requirement","This target is for all residential, commercial and municipal buildings.",31394,2010,"POINT (-71.2269 42.4443)","2021-10-04T09:30:14.243","Lexington, MA","City","USA"
