Account number,Organization,City,Country,Region,C40,Access,Reporting year,Accounting year,Boundary,Protocol,Protocol column,Gases included,Total emissions (metric tonnes CO2e),Scopes Included ,Total Scope 1 Emissions (metric tonnes CO2e),Total Scope 2 Emissions (metric tonnes CO2e),Comment,Increase/Decrease from last year,Reason for increase/decrease in emissions,Population,Population year,GDP,GDP Currency,GDP Year,GDP Source,Average annual temperature (in Celsius)​,​Average altitude (m),​Land area (in square km),City Location,Country Location
54070,City of Eugene,Eugene,USA,North America,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",This inventory also considers guidance provided by Greenhouse Gas Protocol’s Scope 2 Guidance and ICLEI's U.S. Community Protocol.,,,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",812688,955102,,Increased,"The primary reason for the increase compared to 2005 reporting is a change in accounting methodology for electricity in the Eugene Community Inventory. In 2005, electricity emissions were calculated using a utility-specific factor, while 2015, per GPC Guidance, Eugene is reporting electricity emissions using the location-based method for electricity. 

Other items to note on year-over-year change include the following: Scope 1 emissions have decreased by about -20% compared to 2005. This is attributed Oregon's adoption of a Renewable Fuel Standard which sets minimums of 10% ethanol in gasoline and 5% biodiesel in diesel fuels sold in the state, as well the effect of energy efficiency adoption in the RCI sectors for natural gas as well as warmer winders in 2014 and 2015. Since 2010 transportation emissions have decreased by -7% and natural gas emissions have gone down by --7% in the residential sector and -1% in the commercial / industrial sectors.",165885,2016,14322000000,USD     US Dollar,2015,"U.S. Dept. of Commerce, Bureau of Economic Analysis, Regional Data, Eugene, OR (Metropolitan Statistical Area), All Industry Total",11.2,130,113,"(44.0519, -123.0867)","(37.09024, -95.712891)"
58357,City of West Hollywood,West Hollywood,USA,North America,,Public,2017,2008-01-01 - 2008-12-31,Administrative boundary of a local government,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,CO2,583213,Total Scope 1 and Scope 2,,,,Stayed the same,We have not conducted a GHG inventory since 2008 but the City received a Strategic Growth Council grant to create a GHG inventory tool this year 2017. We plan to conduct another inventory as soon as possible.,34399,2010,930817000,USD     US Dollar,2015,US Dept. of Commerce BEA – Los Angeles Metro Area https://www.bea.gov/itable/iTable.cfm?ReqID=70&step=1#reqid=70&step=1&isuri=1,19,90,5,"(34.09, -118.3617)","(37.09024, -95.712891)"
54329,Bogor City Government,Bogor ,Indonesia,South Asia and Oceania,,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,2006 IPCC Guidelines for National Greenhouse Gas Inventories,Following the protocol used at the national level,CO2; CH4; N2O,2193642,Total Scope 1 and Scope 2,,1239622,Finished,Increased,"due to population growth, transportation and economic activity",1047922,2015,117412136000000,IDR     Rupiah,2014,Central Statistic Bureau,32.1,260,118.5,"(-6.5971, 106.806)","(-6.121435, 106.774124)"
32480,City of Adelaide,Adelaide,Australia,South Asia and Oceania,,Public,2017,2015-07-01 - 2016-06-30,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,573347,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",204705,416528,,Other: Emission inventories not consecutive years and new emission sources added to latest GHG inventory,"In the previous CDP Cities 2016 Submission, the GHG emissions from FY2012/13 were reported. We have since calculated a more recent GHG inventory for FY2015/16 and included new emission sources. As such, the current GHG emissions inventory and the previously reported GHG inventory are not directly comparable. We are in the process of compiling historical GHG inventories. Going forward we will be able to show an accurate year on year change based on consistently calculated GHG emissions inventories.",23615,2016,18124000000,AUD     Australian Dollar,2015,http://economy.id.com.au/adelaide/gross-product,18,38,16,"(-34.928499, 138.600746)","(-25.274398, 133.775136)"
50679,Barreiro,Barreiro,Portugal,Europe,,Public,2017,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",The data of energy consumption were collected from the Directorate General for Energy and Geology (DGEG).,,286477,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",201705,84745,,Increased,A residual increase of 2%.,78764,2011,,,,,16,20,33,"(38.660815, -9.079072)","(39.399872, -8.224454)"
54354,City Government of Makati,Makati,Philippines,South Asia and Oceania,,Public,2017,2011-01-01 - 2011-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)","Guidance from the following sources was also used: GHG Management in Local Governments: A Guide developed by the Greenhouse Gas Management Institute (GHGMI) with funding support from USAID, International Local Government Greenhouse Gas Emissions Analysis Protocol (IEAP) developed by ICLEI, and the newly published Global Protocol for Community-Scale Greenhouse Gas Emissions* from WRI, ICLEI and the C40 Climate Leadership Gourp were also used to supplement the GHG Protocol.*GPC Pilot version 1.0 (May 2012) was re;eased as draft and opened for comments while the GHG inventory was taking place in Makati. The approach taken to complete the inventory is mostly similar to the one recommended in the Protocol, but there are some differences in content and terminology (e.f. defining inventory boundaries in terms of 'geographic' and 'geographic+' instead of 'basic' and 'basic+'.",,462586,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",462586,1197784,,Increased,"Scope 1 (Stationary Energy and Transport) and Scope 3 (Solid Waste) increased due to the following reasons:
a. During daytime, the City's population increases to more than 4 million as people from the Metropolitan Manila and other provinces go to the city to work, shop, do business, or simply dine and be entertained.
b. With the increasing population, waste generation also increases.
c. Increased construction and development projects are also observed leading to increased in the demand for energy.
d. More than 800,000 vehicles traverses the City each day as the City host of three (3) Metro Rail Transit (MRT) and Philippine National Railways (PNR) stations and gateway of four (4) major roads.",529039,2010,6,PHP     Philippine Peso,2015,Budget of Expenditures and Sources of Financing NEDA,28.4,15,27.4,"(14.554729, 121.024445)","(12.879721, 121.774017)"
1499,Ajuntament de Barcelona,Barcelona,Spain,Europe,C40,Public,2017,2014-01-01 - 2014-01-31,Administrative boundary of a local government,Other,"Barcelona's local Government uses it's own protocol, which takes into account IPCC 2016 and which has been parcialy adapted to the GPC Protocol",CO2; CH4; N2O,3329110,Total Scope 1 and Scope 2,2772810,556290,"Includes  municipal GHG emissions, residential, terciary and industrial sector, mobility GHG emissions, waste tratment and port and airpot emissions.",Decreased,Due to the increasing renewable energy production and the decreasing of consumption of natural gas.,1608746,2016,64567300000,EUR     Euro,2014,Statistical Institute of Catalonia (Idescat),18,13,101,"(41.382271, 2.177506)","(40.463667, -3.74922)"
36254,Comune di Venezia,Venezia,Italy,Europe,C40,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,Other,Our MEI (Baseline Emission Inventory) has been made according to the Covenant of Mayors Guide Lines (see also LG - Methodology).,CO2,1418344,Total Scope 1 and Scope 2,776246,498717,,Decreased,"Emissions have decreased around 10% in 10 years. However, the most important share of this reduction is due to Transport Emissions data, which were only estimated using the Regional Agency for the Protection of Environment of Veneto Region (ARPAV) data referred on 2013.",261905,2016,10245550000,EUR     Euro,2014,Data from Unioncamere - Tagliacarne Foundation for Venice Municipality,12,3,414,"(45.4332515, 12.3210704)","(41.87194, 12.56738)"
59163,City of Tirana,Tirana,Albania,Europe,,Public,2017,2011-01-01 - 2011-12-31,Administrative boundary of a local government,Other: COPERT IV computer programme within the EMEP/CORINAR methodology,"COPERT IV computer programme, developed by the EEA (European Environmental Agency) within the EMEP/CORINAR methodology was used for calculation from fuel burning and evaporation from the transport sector.",CO2,610773,Total Scope 1 and Scope 2,,457173,"The inventory is also found on the Sustainable Energy Action Plan of the City of Tirana (SEAP). The total emission figure is generated on the data listed below:1. The total registered number of private and commercial vehicles in the city of Tirana in 2011, divided by type of fuel consumption2. The total area of residential and commercial buildings, in 20113. The electricity consumption data for both residential and commercial buildings in 2011, data obtained from CEZ Albania",,,780531,2016,,,,,15,110,1110,"(41.327546, 19.818698)","(41.153332, 20.168331)"
55324,Município de Guimarães,Guimarães,Portugal,Europe,,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,2006 IPCC Guidelines for National Greenhouse Gas Inventories,Determination of CO2 emissions methodology is based on IPCC principles. Presented data is determined by applying emission factors to the data resulting from energy baseline emissions.The energy baseline emissions is calculated using a mathematical model that is based on local energy consumption and macroeconomic and demographic variables.,CO2,401323,Total Scope 1 and Scope 2,277921,123402,The methodology used to calculate GHG emissions of Guimarães municipality is based in the guidelines of Joint Research Centre of the European Commission for SEAP development and the calculations were are based on relevant socio-economic and energetic information provided by official statistics at municipal level.This results were already approved by Covenant of Mayors initiative.,Decreased,"The municipality of Guimarães has been implementing its SEAP achieving very positive results, namely achieving reductions of energy consumptions in municipal and residential buildings as well as industry, transports and agricultural sectors. Changes in the electricity mix also contributed to the community emissions reduction, allowing to the achievement in 2014 of the commitments for 2020.",154920,2015,1802000000,EUR     Euro,2015,Energy baseline emissions. This value was estimated. Official statistics of GDP at the municipal level are not available. The estimation was based on relevant economic and financial information provided by official statistics at municipal and regional level.,15,348,241,"(41.444266, -8.292241)","(39.399872, -8.224454)"
55800,City of Cambridge,Cambridge,USA,North America,,Public,2017,2012-01-01 - 2012-12-31,A metropolitan area,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,1462236,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",1518024,455838,,This is our first year of calculation,,109694,2014,15796000000,USD     US Dollar,2012,Data represents Gross Regional Product from IMPLAN,52,12,16.2,"(45.601, -93.327333)","(37.09024, -95.712891)"
36518,Comune di Udine,Udine,Italy,Europe,,Public,2017,2013-01-01 - 2013-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",438005,175583,,Stayed the same,respect to the baseline of 2006 the GHG emissions decreased of 4% in 2013,99528,2013,,,,,13,113,56,"(46.0667, 13.2333)","(41.87194, 12.56738)"
60392,Municipalidad de San Isidro (Lima),San Isidro (Lima),Peru,Latin America,,Public,2017,2015-01-01 - 2015-12-31,Other: DISTRITAL,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)","Para la medición de la HC a nivel distrital de San Isidro, se aplica el protocolo internacional GPC Protocol, elaborado por el World Resources Institute (WRI), el C40 Cites Climate Leadership Group e ICLEI - Local Governments for Sustainability.",,318191.27,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",158673.55,215622.45,,This is our first year of calculation,,54206,2015,89771259,PEN     Nuevo Sol,2017,www.msi.gob.pe,18,109,9.8,"(-12.09772, -77.027336)","(-9.19, -75.0152)"
31156,Municipality of Curitiba,Curitiba,Brazil,Latin America,C40,Public,2017,2013-01-01 - 2013-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)","Developed in partnership with ICLEI/URBAN LEDS Project, with ONU/HABITAT and financed b y União Europeia",,4125853,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",2686488,349791,,Increased,"The main difference on the increase of  GEE emissions is on the energy sector not by an increase of consumption but because of an increse on emission factors due to the use o thermoelectric plants. In 2012 the annual national average emission factor was 0,0653 T/CO 2e by MWh produced, while in 2013 the factor increased by 30% to 0,0963 T/CO2e by MWh produced .",1751907,2010,79400000000,BRL     Brazilian Real,2013,http://www.agencia.curitiba.pr.gov.br/publico/conteudo.aspx?codigo=39,18,935,434,"(-25.431063, -49.264693)","(-14.235004, -51.92528)"
35995,City of Brasília,Brasília,Brazil,Latin America,,Public,2017,2005-01-01 - 2012-12-31,A metropolitan area,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"Inventário de Emissões e Remoções Antrópicas de GEE do DF (WayCarbon, 2014)PERÍODO DE REFERÊNCIA• Geral: 2005 a 2012, ano a ano.• Mudança do uso da terra (AFOLU): Transição 1990 / 2005 / 2012ANO DE REFERÊNCIA2012",CO2; PFCs; CH4; SF6; N2O; HFCs,7739830,Total Scope 1 and Scope 2,,,,Increased,"Considerando-se as Emissões de GEE por setor para o DF (emissões totais) no período de 2005-2012, as emissões têm aumentado em todos os setores avaliados. De acordo com a análise, os setores Energia e Resíduos apresentaram variação crescente ao
longo de todos os períodos de análise. Para o setor IPPU, apenas a comparação 2005-2008 apresentou resultados menores do que o período anterior (2005-2007), com nova tendência de aumento nos demais intervalos subsequentes (devido à redução da produção de cimento em 2008 e retomada da produção nos anos seguintes).
Já AFOLU apresentou intervalos irregulares de variação positiva e negativa ao longo do período, com valores negativos para os intervalos 2005-2006, 2005-2008, 2005-2009 e 2005-2010. No ano de variação positiva (2005-2007) as categorias mais representativas em emissões no setor AFOLU (Calagem e Emissões da queima de biomassa) também tiveram variação positiva nesse mesmo período.",1409671,2015,171235,BRL     Brazilian Real,2012,Produto Interno Bruto do Distrito Federal. CODEPLAN,21,1172,5780,"(-15.794229, -47.882166)","(-14.235004, -51.92528)"
36036,City of Ibadan,Ibadan,Nigeria,Africa,,Public,2017,2017-05-04 - 2017-05-04,A metropolitan area,Other,not yet implemented,CO2; PFCs; CH4; SF6; N2O; NF3; HFCs,10000,Total Scope 1 and Scope 2,,,,,,5591589,2011,16121000000,USD     US Dollar,2014,WIKIPEDIA FREE ENCYCLOPEDIA,31,230,3080,"(7.377535, 3.94704)","(9.081999, 8.675277)"
20113,City of Vancouver,Vancouver,Canada,North America,C40,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",The City has compiled a GPC-compliant inventory for 2015 as a Compact of Mayors signatory.,,2499107,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",2347304,52123,,Decreased,"Community LDV emissions have decreased with continued increase in landfill gas capture efficiency. Also a decrease in overall stationary energy use: green building policies and improved energy efficiency contribute to this, but also a warmer winter season in 2015. Transportation Scope 1 emissions increased: fuel sales within region increased. Economic growth is one factor, but also USD-CAD exchange rate. Due to our proximity to US border (where fuel can be considerably less expensive), cross-border fuel-ups are significant. Unfavourable exchange rates correlate to decline in cross-border fuel purchasing behaviour.",631486,2016,51303000000,CAD     Canadian Dollar,2016,Conference Board of Canada (forecast); Vancouver Economic Commission,11,45,115,"(49.261226, -123.1139268)","(56.130366, -106.346771)"
31165,Stadt Heidelberg,Heidelberg,Germany,Europe,C40,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,Other: IFEU,Institut für Energie- und Umweltforschung Heidelberg GmbH,CO2,806000,Total Scope 1 and Scope 2,,,"Since many years the IFEU institute developes CO2 balances for municipalities and consults the administrations with its expertise. Ifeu submitted a detailed inventory to the city of Heidelberg, Short comment on C1.3: All climate relevant gases (N2O, CH4 etc.) are included, but converted to CO2-equivalents.",Decreased,"Emissions decreased from 1987 until 2009
Emissions increased from 2009 until 2011
Emissions decreased from 2011 to 2015. 

The decrease may be due to big urban development projects (for example zero-emission living for 5.000 inhabitants in Heidelberg-Bahnstadt) and an continously decreasing energy demand for municipal buildings.",146333,2015,7727035000,EUR     Euro,2013,"http://www.heidelberg.de/hd,Lde/HD/Arbeiten+in+Heidelberg/Wirtschaftsdaten.html#erwerbsttige",13.2,114,109,"(49.398752, 8.672434)","(51.165691, 10.451526)"
36262,Comune di Genova,Genova,Italy,Europe,,Public,2017,2005-01-01 - 2011-12-31,Administrative boundary of a local government,Other,The data that have been monitored by MEI 2011 and reported on SEAP,CO2,1810370,Total Scope 1 and Scope 2,,,,Other:,Is not possible a comparison because the categories are quantified differently,583601,2016,25977591566,EUR     Euro,2015,www.ilsole24h.com,15,19,240,"(44.347961, 9.318415)","(41.87194, 12.56738)"
31114,City of Sydney,Sydney,Australia,South Asia and Oceania,C40,Public,2017,2015-07-01 - 2016-06-30,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)","For the previous CDP C40 Report (2014/15), the City produced its community inventory using GPC BASIC methodology. The community inventory for 2015/16 is based on GPC BASIC+ S3 methodology, hence there is an increase in greenhouse gas emissions as compared to last year. As part of its continous improvement process the City of Sydney endeavours to improve its community inventory and include more data sets when available, on an ongoing basis.",,3783982,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",322689,3070197,,Decreased,"City of Sydney emissions have decreased due to cleaning of the grid, increased network costs leading to greater awareness and behaviour change (indicating there is some price elasticity in electricity consumption), improved energy efficiency, uptake of solar PV installations and weather influences.",210931,2016,118000000000,AUD     Australian Dollar,2016,City Strategic Research Unit,20,39,26,"(-33.8674869, 151.2069902)","(-25.274398, 133.775136)"
59633,"City of Santa Cruz, CA","Santa Cruz, CA",USA,North America,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",63994,48080,,Decreased,cleaner energy and fuel economies; energy efficiency and renewable energy adoption,64220,2015,11908000000,USD     US Dollar,2015,US Bureau of Economic Analysis,14.9,11,41,"(36.974117, -122.030796)","(37.09024, -95.712891)"
50559,"City of St Catharines, ON","St Catharines, ON",Canada,North America,,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)","The fuel sales data for St. Catharines was retrieved from local utility suppliers and Provincial suppliers. This data was supplemented by Provincial and National data that was scaled down to the local level using St. Catharines population size. The city-induced activity and fuel sales approach were the two methodologies used for determining the level of activity within city boundaries. The methodology used correspondes to each activity as follows:                                                                                                      City-Induced method - On-road and corporate transportation, railway, off-road transportation, fugitive oil and natural gas and propane                                      Fuel sales approach - waterborne navigation, electricity, community and corporate natural gas",,954541,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",913052,41488,,This is our first year of calculation,,131400,2014,5562586779,USD     US Dollar,2015,Gross Domestic Product - Statistics Canada,9,102,98,"(43.1594, -79.2469)","(56.130366, -106.346771)"
59160,Ville de Nyon,Nyon,Switzerland,Europe,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,103807,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",91450,12287,,This is our first year of calculation,,20675,2016,1922000000,CHF     Swiss Franc,2015,"Based on our own calculation. Estimation made on the basis of the real GDP of Canton Waadt (federated state), itself based on the Swiss real GDP",,425,6.8,"(46.383268, 6.234785)","(46.818188, 8.227512)"
43905,City of San Antonio,San Antonio,USA,North America,,Public,2017,2013-10-01 - 2014-09-30,Administrative boundary of a local government,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),GPC Protocols for community sector and Solid Waste.,CO2; CH4; SF6; N2O,16498864,Total Scope 1 and Scope 2,9801806,6627058,Data has not been audited by a 3rd party.,This is our first year of calculation,,1469845,2015,93198982910,USD     US Dollar,2012,,27,787,465,"(29.4241, -98.4936)","(37.09024, -95.712891)"
58485,Abington Township,Abington ,USA,North America,,Public,2017,2010-01-01 - 2010-12-31,Other: Municipal boundary,Other: Delaware Valley Regional Planning Commission,"The Delaware Valley Regional Planning Commission (DVRPC) is the designated Metropolitan Planning Organization (MPO) for the Greater Philadelphia Region. DVRPC works to promote regional cooperationin a 9-county, bi-state region. The region includes Bucks, Chester, Delaware, Montgomery (the county where Abington Township is located and the third largest Pennsylvania county), andPhiladelphia counties in Pennsylvania; and Burlington, Camden, Gloucester, and Mercer counties in New Jersey. DVRPC facilitates city, county and state representatives of this region to address key concernssuch as transportation, land use, environmental protection and economic development. DVRPC conducts a regional Energy Use and Greenhouse Gas Emissions Inventory on a 5-year interval, with the most recent inventory reflecting year 2010 conditions as summarized below:1. DVRPC conducted a baseline inventory in 2005 which may be found at http://www.dvrpc.org/reports/09038A.pdf (Abington's results may be found on line 1 of page 66 or A-13 of this document under the Table ""Montgomery County, PA – 2005 Greenhouse Gas Emissions Allocated to Municipality (MTCO2E)""; 2. A 2010 inventory for which Abington Townships results may be found at http://www.dvrpc.org/webmaps/MunicipalEnergy/mcdDetail.aspx?mcdcode=4209100156 under ""GHG Emissions by Sector"" which is further broken down at the end under ""Non-Energy Greenhouse Gas Emissions.""  The 2010 results are what is being reported for this questionnaire.",CO2; PFCs; CH4; SF6; N2O; HFCs,615224,Total Scope 1 and Scope 2,193345,421879,"Although not a registered protocol, the DVRPC GHG Inventory is a thorough tool and was accepted during Abington's Township's STAR Communities™ verification for a Greenhouse Gas Emissions Inventory.",Decreased,"Energy efficiency by residents, businesses, industries, municipal government, and institutions such as hospitals and four public schools with geothermal HVAC, and a cleaner electricity generation mix contributed to this decrease.",55310,2010,,,,,13.6,86,40.1,"(40.12408, -75.119511)","(37.09024, -95.712891)"
35268,City of Boston,Boston,USA,North America,C40,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)","For its inventory, the City of Boston relies on a mix of actual measurements and modeled calculations. Actual measurements are available for electricity, natural gas, and steam (obtained directly from energy utilities), and all sources related to mass transit, the airport, and water and sewer (obtained from the regional authorities). Regional transportation models are used to calculate vehicle-miles-traveled in Boston, which are then split into diesel and gasoline based on the State diesel and gas consumption split. Then each fuel type is divided into the average fleet mix categories (ICLEI 2009) and the EPA emissions factor for each vehicle type are applied to calculate the GHG. A 10% ethanol content for gasoline is also accounted for.  Fuel oil consumption is estimated based on sampling, U.S. Census data, and some state consumption figures.",,6462495,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",4071657,2463589,,Increased,"GHGs increased by about 84,000 metric tonnes, or 1.3%. There were increases in both electricity and natural gas usage, which could be because of an extremely snowy and cold winter. Another factor is that the electricity emissions factor increased, by about 2%, with the closing of a major nuclear plant in Vermont and increased natural gas fired generation. The was a population increase of about 2% as well.",669469,2015,109500000000,USD     US Dollar,2015,Boston Planning and Development Agency analysis using data from the Bureau of Economic Analysis and the National Bureau of Economic Research,10,2,124,"(42.3584308, -71.0597732)","(37.09024, -95.712891)"
55801,City of West Palm Beach,West Palm Beach,USA,North America,,Public,2017,2013-01-01 - 2013-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,1484767,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",,789568,,Other:,The reported emissions have decreased since 2008 but this is largely due to changes and improvements in methodology.,106779,2016,4855510958,USD     US Dollar,2017,https://www.bea.gov/newsreleases/regional/gdp_metro/2014/pdf/gdp_metro0914.pdf,24.1,,58.2,"(26.715342, -80.053375)","(37.09024, -95.712891)"
60680,Ville de Salaberry-de-Valleyfield,Salaberry-de-Valleyfield,Canada,North America,,Public,2017,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,435594,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",423244,3003,,Other: New inventory with new sources,,40905,2017,,CAD     Canadian Dollar,,,6.3,48,125.5,"(45.250091, -74.133086)","(56.130366, -106.346771)"
54408,Aarhus Kommune,Aarhus,Denmark,Europe,,Public,2017,2008-01-01 - 2016-01-01,Administrative boundary of a local government,Other,,CO2,1600000,Total Scope 1 and Scope 2,,,,Decreased,Increasing share of renewable electricity at national level and continued energy savings,336000,2017,,,,,,,468,"(56.168393, 10.137373)","(56.26392, 9.501785)"
55799,"City of Arlington, VA","Arlington, VA",USA,North America,,Public,2017,2012-01-01 - 2012-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Arlington updated a previously completed inventory for calendar year 2012 to meeting GPC standards. A new community inventory will be completed for 2016 later in 2017.,,2550886,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",1239302,1273559,,Other: new method,This is our first year of calculation using the GPC method. A comparison will be available later in 2017 when a 2016 inventory is completed.,220400,2016,18871919000,USD     US Dollar,2014,US Dept of Commerce Bureau of Economic Analysis,14.5,83,67,"(37.226486, -76.002594)","(37.09024, -95.712891)"
62864,"City of Lancaster, PA","Lancaster, PA",USA,North America,,Public,2017,2016-01-01 - 2016-12-31,Administrative boundary of a local government,International Emissions Analysis Protocol (ICLEI),,CO2; CH4; N2O,364181,Total Scope 1 and Scope 2,364183,214442,"This inventory is only about 75% complete, and the data that is included needs to be vetted still. The transportation data is especially lacking and major stationary sources (other than natural gas) have not been included yet.",Other:,"All GHG calculations are form 2015 data except the transportation emissions, which are 2014. We are still using 2015 data for this reporting.",60000,2016,,,,,11.5,112,7.3,"(40.037875, -76.305514)","(37.09024, -95.712891)"
43910,City of Columbus,Columbus,USA,North America,,Public,2017,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Basic Reporting.,,,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",5509422,5592455,,Decreased,"Greenhouse gas emissions have again increased since our baseline emission inventory of 2013, but decreased since the 2014 inventory.",850106,2016,108089000000,USD     US Dollar,2014,https://development.ohio.gov/files/research/E1001.pdf,11.6,275,563,"(39.9611755, -82.9987942)","(37.09024, -95.712891)"
59631,"City of San Leandro, CA","San Leandro, CA",USA,North America,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Used ClearPath to report all data. Community-scale emissions were received from local agencies. Energy data is from local energy provider PG&E.On-road transportation comes from models by MTC (Metropolitan Transit Organization for the Bay). BART emissions come from ridership surveys. Boats and marine transit data comes from the harbormaster. Wastewater data comes from two sources: San Leandro's own wastewater treatment plant and Oro Loma Sanitary District's wastewater treatment plant. Solid Waste data is based on City of San Leandro Sanitary District (Alameda County Industries) and Oro Loma Sanitary District (Waste Management) reports on waste disposal and CalRecycle.,,633905,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",511195,102335,,Decreased,"Our emissions have decreased from the 2005 baseline of 675,800 metric tons of co2e. 

While emissions from transit have increased as the municipal and regional population has increased dramatically, other sectors have decreased significantly. 

Residential energy use has decreased by 15,000 metric tons of co2e in large part due to shifts in energy sourcing from PG&E. 

Countywide efforts to decrease land-filled waste have helped cut co2e from waste more than in half (from about 47,000 tons CO2e to only 20,105) with further reductions planned for the future. 

Commercial energy, which also shows a drop, is anomalous.  While the shift in PG&E sourcing has undoubtedly reduced the amount of GHG emissions, the so-called 15/15 Rule prohibits us from seeing exact industrial natural gas emissions. Instead we modeled usage based on historical data which may or not may reflect current usage due to current economic growth in comparison to the years used (2009-2013) when the economy was recovering for the recession.",88441,2015,5980612000,USD     US Dollar,2012,"Bureau of Economic Analysis, US Department of Commerce (estimated from GDP/capital statistic for SF metropolitan area)",15,15,40,"(37.72493, -122.156077)","(37.09024, -95.712891)"
